Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196
68,10,12,21,14,8,30,7,13,12,6,9,23,12,30,17,4,9,11,12,6,11,12,17,16,19,7,17,12,11,6,15,7,10,3,9,25,21,34,2,3,30,5,25,14,8,9,12,12,14,12,19,12,24,7,10,10,9,8,12,21,11,17,7,8,16,20,8,0,4,9,18,18,26,10,8,28,10,16,13,13,6,8,13,3,7,6,23,32,0,21,18,9,36,14,3,8,6,35,12,15,3,24,8,23,7,12,16,11,14,10,18,11,11,6,7,9,23,7,7,6,14,38,16,7,15,6,13,3,3,7,6,6,13,24,4,8,4,9,8,13,14,4,4,10,10,23,3,4,13,14,9,8,33,12,15,6,1,11,8,16,17,25,8,18,17,31,5,8,13,16,12,10,25,22,16,20,34,14,11,24,5,6,22,5,8,19,3,6,8,10,9,12,4,18,11,20
69,14,8,25,19,12,32,4,18,15,2,7,19,16,31,20,7,7,15,9,4,13,8,20,13,22,10,21,8,14,4,18,3,8,7,7,28,18,38,3,7,31,1,30,17,12,4,14,16,19,15,20,12,21,3,6,14,7,10,8,19,9,21,11,10,19,24,11,4,0,12,22,22,29,6,12,32,6,18,18,16,3,4,15,8,10,9,25,36,4,26,19,5,38,18,3,10,8,40,8,16,7,26,4,28,10,15,19,7,10,14,14,14,13,2,5,7,21,8,3,2,17,38,14,3,13,8,16,2,6,10,6,4,17,19,7,12,5,7,12,17,18,3,0,7,13,26,7,7,16,17,12,12,38,9,10,9,4,14,11,21,21,28,6,21,20,34,1,6,16,21,8,6,29,24,21,24,40,11,10,20,7,9,18,8,10,17,2,4,5,14,6,16,8,20,8,22
70,15,16,18,10,16,21,15,10,5,12,18,31,14,21,13,6,17,3,21,10,2,15,25,20,12,3,13,15,5,14,7,11,13,11,17,16,29,27,10,10,21,12,22,10,14,12,7,10,12,8,10,20,28,10,13,2,17,4,19,32,20,15,12,4,8,20,4,9,12,0,11,24,18,12,16,19,14,7,10,5,14,11,8,7,4,4,15,23,9,14,9,12,29,11,10,3,4,27,20,10,10,20,12,15,2,6,7,14,17,2,21,3,2,13,15,17,32,15,10,13,6,28,19,10,24,6,9,10,11,2,10,10,15,26,6,4,12,13,10,10,11,8,11,12,4,18,6,8,6,7,16,12,27,16,17,3,9,5,6,13,14,15,17,23,13,26,11,12,14,13,15,13,23,14,14,22,28,19,18,33,4,4,29,5,16,27,12,10,17,15,16,9,12,9,20,12
71,25,22,10,20,26,12,24,11,12,23,28,40,27,10,6,16,27,9,32,18,9,22,36,28,8,12,6,24,9,25,8,20,20,20,28,7,41,18,21,22,10,22,14,8,26,18,14,11,16,14,2,30,35,20,20,10,28,11,29,40,32,7,22,12,4,32,11,18,22,11,0,34,8,20,27,9,20,5,10,7,25,20,14,17,12,14,6,12,19,5,6,22,18,8,19,12,14,17,32,16,20,12,18,10,13,13,12,21,25,10,29,8,9,22,26,28,40,26,20,24,6,18,27,20,34,14,17,20,23,13,16,18,26,33,16,14,22,19,18,11,16,18,22,20,11,11,16,18,6,4,25,24,16,23,25,13,20,12,12,19,22,6,29,32,6,19,20,19,24,6,23,20,16,7,23,31,18,26,28,42,16,13,40,14,28,38,23,18,28,25,27,8,24,9,29,3
72,9,32,30,14,10,42,18,22,26,25,15,12,8,43,29,18,15,24,17,24,24,31,4,36,32,22,31,31,25,20,28,26,28,15,15,38,8,49,21,16,45,22,29,27,10,26,26,22,17,27,32,11,42,24,29,24,16,22,20,26,18,28,11,21,31,3,21,18,22,24,34,0,41,28,10,43,28,28,23,27,21,25,27,17,21,20,39,43,18,36,33,26,50,26,22,21,19,47,14,28,15,25,27,37,21,25,29,30,32,24,37,24,24,25,17,16,27,14,26,22,26,49,35,26,12,20,28,21,16,21,24,24,8,43,17,20,17,27,24,23,16,22,22,27,24,32,18,16,27,30,10,11,50,29,31,21,18,26,22,15,11,40,19,1,30,37,23,26,8,30,31,27,25,36,10,2,50,32,12,14,19,20,28,20,12,23,20,25,16,9,18,25,14,30,17,33
73,32,30,14,28,35,4,32,18,16,30,37,50,33,6,10,24,34,17,40,26,16,29,41,32,7,20,10,29,17,32,11,27,23,30,34,3,49,10,29,27,6,30,18,15,31,26,14,19,24,15,9,40,33,27,27,18,36,19,39,47,36,14,30,19,12,37,20,26,29,18,8,41,0,25,35,5,28,12,18,14,32,27,14,24,20,22,4,6,27,9,9,28,10,16,28,20,21,9,37,13,27,16,27,6,21,15,12,29,30,17,24,15,17,32,34,34,51,35,27,31,13,10,22,26,42,22,14,27,29,20,25,24,34,30,23,21,30,23,19,18,24,26,30,23,16,15,24,26,14,12,35,32,8,21,22,21,26,15,20,26,29,3,36,39,10,23,28,25,34,10,28,26,20,5,31,38,16,26,38,52,22,21,48,22,34,44,30,26,33,33,34,16,30,10,39,7
74,19,4,30,23,18,28,8,22,9,6,12,24,20,26,24,13,12,10,15,3,14,4,23,8,18,10,24,4,17,9,13,3,3,12,12,21,22,36,8,12,28,6,32,22,17,2,10,22,24,10,18,16,16,3,4,12,12,9,13,25,14,27,15,9,20,29,9,10,6,12,20,28,25,0,18,26,4,20,23,13,8,2,10,12,10,9,22,29,10,24,16,4,35,22,6,10,11,35,14,12,12,33,2,21,12,10,13,4,7,12,9,14,13,6,11,12,25,12,3,6,18,36,10,3,18,7,11,7,12,12,4,3,21,15,12,16,11,2,7,22,22,6,5,2,9,31,12,12,17,18,18,16,32,4,6,10,9,10,7,24,26,22,10,28,25,39,5,1,21,25,4,0,36,20,26,28,33,6,15,26,9,9,22,9,16,22,7,3,10,18,10,20,14,15,13,18
75,2,20,24,7,1,39,9,16,19,14,6,16,4,36,23,10,6,18,7,15,18,20,10,26,26,15,24,21,18,10,23,16,17,6,6,32,14,42,10,6,35,12,20,19,2,16,20,16,10,19,26,4,31,15,18,18,6,15,9,17,8,21,4,15,24,12,15,8,12,16,27,10,35,18,0,34,18,21,17,20,12,16,20,10,16,13,31,37,8,29,25,17,42,20,12,15,13,43,5,22,6,20,16,30,15,18,23,20,21,17,26,18,19,14,7,6,16,5,15,13,21,43,24,15,9,13,20,11,6,15,15,14,4,32,10,14,7,18,16,15,10,11,12,17,18,25,10,8,21,22,0,4,40,20,22,14,9,19,16,8,9,32,8,11,26,29,13,17,5,23,19,17,18,29,8,11,43,22,3,17,12,14,19,13,2,13,10,15,8,2,10,18,4,24,6,27
76,34,30,19,30,36,9,33,19,17,33,38,52,35,11,14,26,38,18,40,28,17,31,45,33,8,20,14,30,18,33,12,28,23,30,37,4,50,8,30,30,11,30,24,16,34,26,16,20,24,16,10,40,30,30,29,18,37,20,38,48,40,16,31,21,12,39,21,28,32,19,9,43,5,26,34,0,29,14,19,15,32,28,17,26,20,22,5,10,27,13,11,29,9,16,30,22,23,8,38,14,29,22,28,4,21,17,13,30,32,18,24,17,17,33,36,37,50,36,28,31,15,15,18,28,44,23,15,28,29,22,25,27,36,30,24,22,31,23,19,20,24,28,31,24,18,20,26,29,15,13,36,31,7,23,22,23,29,17,20,29,30,4,37,43,14,29,30,24,33,15,29,26,23,6,31,40,20,28,37,53,23,23,48,24,34,44,32,28,36,33,36,17,32,12,40,8
77,20,3,30,25,18,32,9,23,13,4,13,23,22,29,26,14,12,13,12,4,13,2,25,7,20,11,26,2,18,8,16,4,6,12,13,26,20,38,9,13,31,6,36,23,19,2,14,22,24,14,19,18,14,4,1,13,12,10,10,22,10,26,17,10,21,29,10,10,6,14,20,28,28,4,18,29,0,20,24,14,6,3,13,12,10,10,24,32,10,25,18,2,36,25,7,11,12,38,13,15,13,32,2,25,13,13,16,1,4,13,8,14,14,4,11,12,21,13,4,5,18,36,14,4,16,8,15,8,12,14,4,4,22,14,13,18,11,6,10,22,23,7,6,6,12,31,13,13,20,18,18,17,35,8,8,11,9,13,9,26,27,26,10,28,25,40,6,4,23,26,2,4,35,23,25,30,36,5,17,24,10,11,20,10,16,19,8,4,11,19,9,21,14,18,12,21
78,21,24,11,16,21,16,20,6,12,18,24,39,21,14,7,12,24,9,26,15,6,21,30,26,8,10,6,22,4,22,8,16,19,17,24,10,37,21,16,16,14,18,15,4,20,18,13,7,12,14,4,26,33,17,19,8,24,10,26,35,27,8,19,10,2,27,10,16,18,7,5,28,12,20,21,14,20,0,6,6,21,18,14,13,10,10,9,18,15,8,6,19,21,4,16,9,9,20,25,16,17,14,18,10,8,12,11,21,24,8,29,5,7,19,22,24,36,22,17,19,2,22,25,17,31,12,16,16,18,8,16,16,21,34,12,9,19,18,17,6,12,15,18,20,10,12,12,16,2,2,21,18,20,22,24,9,16,11,12,15,18,10,24,28,6,20,17,18,21,7,22,20,16,7,18,27,22,26,24,40,11,10,36,11,23,33,19,16,22,20,22,4,19,9,26,5
79,16,26,8,10,16,20,16,1,15,20,19,32,15,20,8,10,18,12,20,20,10,24,25,30,11,13,8,24,5,16,10,20,22,11,18,16,30,28,15,11,19,17,12,3,16,20,17,2,6,17,9,21,36,20,23,11,18,14,21,30,20,5,14,13,7,22,14,13,18,10,10,23,18,23,17,19,24,6,0,10,17,21,17,10,14,14,15,22,14,13,8,22,26,3,17,12,11,27,20,18,12,10,20,15,10,16,14,23,26,11,31,8,10,20,16,19,32,16,20,18,5,28,30,19,25,15,20,15,12,11,18,20,17,36,10,6,13,21,20,2,7,17,18,23,14,8,11,10,4,5,16,14,26,26,26,13,14,14,15,9,12,14,18,24,8,17,18,21,16,7,26,22,13,12,15,23,26,27,19,34,14,13,31,14,18,28,15,19,17,14,17,2,14,12,22,10
80,19,16,18,14,21,18,20,10,5,17,22,37,19,17,13,10,22,2,24,12,3,15,28,20,7,6,13,16,6,19,3,14,13,15,21,12,34,23,16,15,17,16,21,10,19,13,7,10,11,7,6,24,28,14,14,4,23,6,23,35,24,14,17,6,8,24,6,13,16,5,7,27,14,13,20,15,14,6,10,0,17,13,8,11,6,8,11,19,13,12,4,16,23,10,14,6,8,22,25,10,14,18,12,11,6,6,5,15,18,3,21,2,3,16,20,23,36,20,14,18,6,24,18,13,27,8,10,14,15,6,11,12,20,28,10,8,17,13,10,9,11,13,17,13,4,18,10,13,6,5,19,17,21,16,18,7,14,5,6,13,16,12,22,28,12,28,15,12,18,13,15,13,23,9,18,25,24,18,22,36,9,7,34,8,21,31,16,12,21,19,22,9,17,4,24,7
81,14,9,25,19,12,35,3,17,16,2,7,17,15,33,22,9,7,16,7,7,16,8,19,13,26,13,22,8,16,2,21,5,10,6,7,28,16,43,3,7,33,2,29,17,12,6,17,16,18,18,22,12,20,5,6,16,7,12,6,17,6,20,11,12,20,25,13,6,3,14,25,21,32,8,12,32,6,21,17,17,0,6,18,7,12,11,30,35,5,27,23,5,40,18,5,12,11,41,7,20,6,26,6,28,12,16,20,7,10,15,14,16,15,3,5,7,18,8,5,2,19,42,16,5,10,11,18,4,6,13,8,6,16,19,8,12,5,9,14,16,18,5,3,9,15,26,8,7,19,19,12,11,39,11,12,12,5,16,13,21,21,28,4,21,22,32,4,8,16,22,8,8,29,26,20,24,40,12,10,18,10,11,16,10,10,14,2,6,5,14,4,16,9,22,6,25
82,17,5,29,21,16,29,7,20,11,4,10,23,18,30,25,11,11,11,13,2,12,4,22,10,19,8,23,5,16,7,16,1,5,10,11,23,20,35,6,10,30,4,34,22,16,1,12,20,21,12,18,15,16,1,2,10,10,8,12,22,12,26,15,8,19,28,8,8,4,11,20,25,27,2,16,28,3,18,21,13,6,0,12,11,8,7,23,30,8,24,16,3,35,20,5,9,10,36,12,14,10,29,1,24,11,11,16,4,6,10,11,12,11,4,9,10,23,11,1,4,17,37,12,1,16,6,14,5,9,11,2,2,20,16,11,15,9,4,8,20,21,4,4,4,10,28,11,11,16,16,16,15,32,6,7,8,7,11,8,25,25,25,8,27,23,39,4,2,20,24,4,2,34,22,24,26,36,8,14,23,7,7,21,7,13,20,6,2,9,16,9,20,12,16,11,20
83,18,15,24,19,20,19,19,17,3,16,20,34,19,17,21,9,22,6,24,11,8,14,29,17,8,5,19,14,12,19,7,12,8,14,20,12,34,24,14,14,17,15,29,18,19,12,1,16,18,0,12,23,22,13,14,6,22,5,24,34,24,21,16,5,16,24,5,13,15,8,14,27,14,10,20,17,13,14,17,8,18,12,0,11,5,7,11,20,13,19,8,15,24,18,13,5,7,24,24,2,14,28,12,12,7,2,4,13,16,6,14,9,7,17,19,21,34,20,12,17,13,24,13,12,26,8,3,14,14,7,10,11,18,20,9,11,16,8,4,17,18,12,15,8,4,26,10,13,13,12,19,17,23,9,10,6,13,3,4,20,21,13,21,26,19,32,14,10,18,20,14,11,31,10,20,24,27,12,23,34,8,7,32,8,20,30,15,11,20,18,20,16,16,6,22,12
84,8,16,18,12,10,28,9,10,9,9,11,24,9,27,15,1,11,9,14,9,8,15,18,20,17,5,16,15,9,9,13,10,12,4,11,21,24,32,5,4,27,8,22,11,8,11,10,10,12,10,15,14,27,10,12,8,11,6,14,24,13,15,6,6,14,18,6,3,8,7,17,17,24,12,10,26,12,13,10,11,7,11,11,0,6,4,22,28,3,19,15,12,33,10,6,5,4,34,14,13,4,19,11,22,5,9,14,13,17,8,20,9,8,9,10,11,26,10,10,8,12,33,18,10,18,5,11,6,5,5,9,9,10,25,1,5,6,12,10,10,11,6,7,12,8,19,1,3,12,12,10,7,31,15,17,4,4,10,6,14,15,22,11,16,16,27,8,12,10,15,15,12,22,20,14,17,34,18,12,27,4,4,23,4,10,21,6,9,11,8,11,9,6,15,14,18
85,14,13,20,14,15,24,14,14,4,12,16,30,13,22,16,4,17,4,20,6,4,12,23,17,12,2,17,12,9,14,8,8,9,10,16,16,30,28,10,9,22,11,24,14,14,8,5,13,16,5,11,19,24,9,10,3,16,0,18,28,18,19,12,0,12,21,0,7,10,4,12,21,20,10,16,20,10,10,14,6,12,8,5,6,0,2,16,25,8,16,10,10,29,14,8,2,2,29,18,7,9,24,8,18,4,4,8,10,14,3,17,5,4,11,15,16,31,14,8,12,9,28,16,8,22,2,6,9,11,4,6,6,14,24,5,8,12,10,6,13,15,7,10,10,3,23,5,8,9,9,15,11,26,12,14,2,8,4,2,16,17,16,16,21,16,30,10,8,14,17,12,9,25,15,17,19,28,15,18,32,4,2,29,3,16,27,10,7,16,13,15,12,12,10,19,13
86,12,13,21,15,13,26,12,13,6,10,14,27,12,24,18,4,14,6,17,6,5,11,23,16,14,2,17,12,9,12,11,7,9,8,15,19,26,30,8,7,23,9,24,15,12,8,7,13,15,7,13,16,24,7,9,4,14,2,17,28,18,18,10,2,12,21,2,6,9,4,14,20,22,9,13,22,10,10,14,8,11,7,7,4,2,0,18,26,6,16,12,8,30,14,6,2,3,31,17,10,8,24,8,20,4,6,10,10,13,5,18,6,5,10,12,15,28,12,6,10,10,32,15,7,22,2,8,7,9,4,6,6,13,23,4,8,10,8,6,13,15,6,8,9,5,22,4,6,10,9,13,10,29,12,14,2,6,6,3,17,17,18,14,20,17,31,8,8,14,17,11,9,26,17,16,20,29,15,16,29,2,1,25,1,14,24,9,6,13,11,14,12,10,12,17,15
87,31,24,17,26,32,7,30,15,12,26,34,47,29,9,13,21,32,13,36,23,13,24,41,29,4,17,12,25,13,31,8,25,20,24,32,1,43,12,25,24,8,28,20,12,30,22,12,16,21,11,6,34,28,24,24,14,33,17,34,46,34,13,28,16,8,34,16,23,25,15,6,39,4,22,31,5,24,9,15,11,30,23,11,22,16,18,0,8,23,11,6,27,12,12,25,16,18,12,36,10,25,18,22,4,17,13,8,26,27,14,23,12,14,27,32,33,46,32,24,26,10,13,20,24,41,18,11,24,25,17,22,22,30,27,22,18,28,19,16,15,22,24,27,20,14,18,20,24,11,9,31,26,11,17,19,17,25,13,16,23,26,1,32,39,12,26,27,20,28,12,25,21,20,2,27,34,20,22,32,47,20,18,44,19,31,43,26,22,32,30,31,14,28,7,34,4
88,37,34,16,31,39,2,36,24,21,35,38,53,37,3,16,28,38,20,46,31,22,34,46,37,12,24,14,34,20,40,16,31,27,32,42,8,50,6,32,33,3,35,18,19,36,30,19,22,27,20,14,44,37,32,32,22,38,24,43,51,41,19,34,23,16,45,25,32,36,23,12,43,6,29,37,10,32,18,22,19,35,30,20,28,25,26,8,0,31,10,15,34,6,20,33,25,26,6,44,18,34,21,30,11,24,20,17,32,35,21,29,20,20,36,39,38,53,39,33,35,18,6,26,30,46,26,19,32,36,24,29,31,39,34,29,25,34,28,22,23,29,31,33,28,22,15,30,31,18,17,37,34,4,25,26,26,32,21,24,31,33,7,38,45,14,18,34,28,38,14,33,30,22,10,35,46,11,30,41,53,27,26,52,26,38,51,34,30,38,37,40,21,36,14,44,12
89,10,13,21,15,9,32,7,12,11,6,9,24,12,30,16,3,9,11,12,6,11,12,16,17,20,8,17,12,10,7,15,7,9,3,9,24,21,37,2,3,28,5,25,14,8,8,13,13,16,12,18,12,24,7,10,10,9,8,12,23,11,18,7,8,16,21,8,0,4,9,19,18,27,10,8,27,10,15,14,13,5,8,13,3,8,6,23,31,0,21,17,9,38,14,4,8,6,36,12,14,3,23,8,25,7,11,15,11,14,10,18,12,10,6,7,9,23,7,7,5,14,38,16,7,16,6,13,3,3,7,6,6,12,23,4,8,4,9,8,14,14,4,4,10,10,22,3,4,14,15,8,8,34,13,15,6,1,12,8,17,17,25,9,19,17,30,5,8,13,16,12,9,26,22,17,19,36,14,10,23,4,6,21,5,8,18,3,7,8,9,8,12,5,17,11,20
90,29,27,7,23,28,10,28,13,17,25,31,45,28,7,5,20,30,14,32,21,12,27,39,31,12,14,4,28,12,29,13,22,25,24,30,12,43,14,24,23,8,26,10,10,28,24,19,14,19,19,7,34,38,23,24,12,30,15,32,42,32,9,26,15,6,32,15,21,26,14,5,36,9,24,29,13,25,8,13,12,27,24,19,19,16,16,11,10,21,0,11,24,14,10,22,14,16,14,34,20,23,10,24,14,16,17,16,26,29,13,32,11,12,27,28,31,44,28,23,25,8,15,30,22,35,16,21,24,25,15,21,20,28,38,18,16,27,23,22,14,19,22,26,23,16,7,20,22,9,8,30,26,12,26,29,16,22,16,17,20,24,11,29,35,5,14,23,23,28,6,27,25,12,12,27,33,15,31,32,44,18,16,43,17,29,42,24,22,29,26,30,12,26,13,33,7
91,23,20,17,19,24,14,23,9,7,20,26,40,24,12,12,15,25,6,28,16,7,18,33,21,3,10,11,19,7,24,2,18,14,20,26,7,40,19,20,20,12,21,20,10,24,16,8,9,14,8,4,27,30,18,19,8,26,10,28,40,28,13,22,10,7,30,10,18,19,9,6,33,9,16,25,11,18,6,8,4,23,16,8,15,10,12,6,15,17,11,0,20,19,10,18,10,12,19,28,10,20,19,17,7,11,7,6,19,22,7,22,6,7,21,23,27,40,24,18,22,4,19,20,18,33,12,11,18,20,11,15,16,23,28,15,11,22,14,12,9,14,16,20,14,7,17,15,18,4,4,26,21,18,17,19,11,18,6,9,18,20,7,25,32,12,25,20,15,24,12,20,16,21,5,23,28,19,19,28,42,13,11,38,12,25,37,21,17,26,23,27,8,21,3,28,4
92,18,4,30,22,17,34,8,22,14,3,12,20,21,31,24,12,12,13,10,4,14,3,24,8,23,10,24,4,18,7,18,2,8,11,12,26,20,38,7,12,30,4,32,23,17,4,15,22,24,15,21,16,16,2,2,12,12,10,8,19,10,26,16,10,20,29,10,9,5,12,22,26,28,4,17,29,2,19,22,16,5,3,15,12,10,8,27,34,9,24,20,0,38,23,6,9,11,37,12,17,11,33,3,26,12,14,17,2,5,13,10,13,13,3,10,12,20,12,2,4,17,38,14,3,14,8,16,6,10,12,5,4,21,15,12,17,10,7,11,21,23,6,5,7,12,30,12,12,18,17,16,16,36,9,9,10,8,14,10,25,24,27,9,27,24,37,5,5,21,25,3,4,34,26,26,29,40,6,14,22,8,9,18,8,15,17,7,4,10,18,8,20,13,20,11,22
93,40,39,22,36,44,6,41,27,26,41,43,58,43,8,20,34,46,25,47,36,26,37,51,41,16,29,19,38,24,44,20,38,31,39,46,12,59,1,37,40,8,39,23,24,43,34,24,28,35,23,18,49,36,38,36,27,44,30,46,60,45,22,39,30,20,46,28,36,38,29,18,50,10,35,42,9,36,21,26,23,40,35,24,33,29,30,12,6,38,14,19,38,0,25,36,30,30,1,49,22,38,26,36,13,28,24,21,38,40,28,32,26,25,41,44,44,60,44,36,40,22,11,25,36,49,30,23,36,38,28,33,36,44,38,32,32,39,31,27,28,35,37,39,31,26,20,34,37,24,23,45,40,3,30,29,30,36,26,28,36,39,12,45,48,20,24,39,35,43,20,38,35,26,14,39,50,17,36,44,60,32,30,56,32,45,52,38,36,42,42,44,26,40,19,47,17
94,18,26,7,13,19,20,18,4,14,19,21,36,18,18,5,11,21,12,23,20,10,24,29,29,12,13,6,26,6,18,11,20,23,13,21,12,34,25,15,14,18,18,11,0,18,21,17,4,9,17,7,24,39,20,23,12,21,14,22,32,24,4,17,14,4,23,14,14,18,11,8,26,16,22,20,16,25,4,3,10,18,20,18,10,14,14,12,20,14,10,10,23,25,0,16,13,12,23,24,20,14,10,22,13,11,16,14,26,28,11,33,10,11,20,18,20,33,18,19,20,5,24,30,20,27,15,20,17,15,11,20,20,19,38,11,6,17,24,20,4,9,17,18,22,14,8,11,12,5,6,20,16,23,27,27,13,15,14,16,11,15,13,19,27,6,16,18,22,17,5,24,22,12,10,16,23,24,29,22,36,14,14,33,16,20,32,15,21,20,18,20,2,15,12,22,8
95,12,9,24,17,12,30,6,16,12,4,8,21,16,29,19,7,8,12,12,3,12,9,19,14,21,8,20,9,12,6,16,4,6,6,8,24,21,38,2,6,31,3,27,17,11,6,13,16,18,14,18,11,22,4,7,11,8,9,11,22,12,21,11,9,16,23,8,3,3,10,19,22,28,6,12,30,7,16,17,14,5,5,13,6,8,6,25,33,4,22,18,6,36,16,0,8,6,36,12,16,6,26,5,24,8,13,16,8,11,10,15,12,12,4,7,8,23,6,4,4,15,37,13,4,15,6,14,1,6,8,3,4,16,20,7,11,5,6,9,15,16,1,2,6,11,24,6,7,14,15,12,11,34,9,12,7,2,12,9,20,20,24,8,21,18,32,2,6,16,20,9,6,29,22,19,22,36,12,10,24,5,6,20,6,9,19,3,4,8,12,8,15,8,17,11,21
96,14,14,20,14,15,24,13,13,4,11,16,31,14,22,16,4,15,4,18,8,4,12,24,19,13,0,15,14,8,14,8,8,10,9,16,17,27,29,9,9,23,11,24,13,14,9,5,12,15,6,10,18,25,8,10,3,16,2,18,30,18,16,11,2,11,19,2,8,10,3,12,21,20,10,15,22,11,9,12,6,12,9,5,5,2,2,16,25,8,14,10,9,30,13,8,0,2,28,18,7,9,22,9,16,2,4,8,12,14,3,18,4,4,12,15,16,28,14,8,11,8,29,16,8,24,3,7,9,10,3,7,7,13,24,4,7,11,10,8,12,14,8,10,10,3,21,5,7,9,8,15,12,27,13,15,2,8,4,3,16,16,16,15,20,15,30,10,9,13,16,13,10,26,15,15,20,29,15,18,30,3,2,28,3,16,26,10,7,16,13,16,11,11,10,18,13
97,12,14,18,12,14,26,12,11,6,10,14,28,12,24,16,3,14,6,18,8,5,14,21,20,15,2,14,14,7,13,10,9,11,8,15,18,27,31,8,8,24,8,23,12,11,10,7,12,13,7,13,18,27,9,12,5,14,3,16,27,17,16,9,2,10,18,2,6,8,4,14,19,21,11,13,23,12,9,11,8,11,10,7,4,2,3,18,26,6,16,12,11,30,12,6,2,0,32,16,10,7,20,10,19,2,6,10,13,15,5,20,6,5,9,12,15,27,12,9,9,9,32,18,9,21,4,8,7,8,2,8,9,13,24,3,6,9,12,8,12,12,6,8,11,5,21,3,6,8,10,13,9,30,14,16,1,6,6,4,15,16,20,14,20,15,29,8,10,11,15,14,11,24,16,14,18,29,17,15,28,3,2,25,3,14,25,8,8,13,11,14,10,10,11,17,15
98,39,37,21,36,45,5,41,27,24,38,43,60,43,7,19,34,45,25,47,34,26,36,53,42,16,28,17,35,25,41,21,37,31,37,44,11,56,1,38,36,7,40,22,23,41,34,24,28,33,23,19,47,37,37,38,25,44,28,48,58,48,22,38,28,19,48,29,35,40,27,17,47,9,35,43,8,38,20,27,22,41,36,24,34,29,31,12,6,36,14,19,37,1,23,36,28,32,0,46,22,38,24,35,11,30,25,20,36,42,27,30,24,25,38,44,46,56,42,36,39,22,11,24,36,51,30,22,35,40,30,33,33,42,38,33,31,38,31,28,26,32,35,37,32,25,18,34,36,22,21,42,41,3,28,29,28,36,24,27,34,39,12,44,50,19,23,36,32,42,19,37,32,25,14,40,47,17,36,43,59,31,30,56,30,43,52,39,35,43,40,45,25,38,19,47,16
99,6,16,27,11,6,41,5,20,22,10,3,12,9,38,27,15,3,23,2,13,22,15,12,20,31,19,28,15,23,6,26,11,16,10,3,34,10,45,10,9,40,8,25,22,5,12,22,20,14,22,28,5,28,11,14,21,3,20,5,13,3,24,7,18,27,17,19,12,8,20,32,14,37,14,5,38,13,25,20,25,7,12,24,14,18,17,36,44,12,34,28,12,49,24,12,18,16,46,0,24,10,22,12,36,19,23,26,14,17,20,22,23,22,10,5,3,12,5,11,9,24,48,22,11,4,17,25,10,9,19,14,13,9,27,14,18,8,16,20,19,14,11,9,15,22,29,14,11,24,26,5,8,48,18,17,17,12,23,19,14,13,36,4,15,29,33,10,13,10,27,14,14,22,34,13,17,49,17,3,13,15,16,14,16,3,9,8,12,4,6,5,23,8,28,2,32
100,21,16,26,20,22,16,21,18,5,19,22,38,22,19,22,11,24,8,28,14,10,16,32,19,9,8,21,15,15,21,9,15,10,16,23,10,34,21,17,16,18,17,31,20,20,13,3,18,20,2,14,26,19,15,15,9,23,7,26,36,26,23,18,8,18,26,8,15,16,10,16,28,13,12,22,14,15,16,18,10,20,14,2,13,7,10,10,18,14,20,10,17,22,20,16,7,10,22,24,0,16,28,14,10,9,4,5,16,18,8,13,11,10,18,21,24,38,21,15,18,15,23,10,15,30,9,2,16,18,9,12,13,20,17,12,14,19,11,7,18,20,15,17,10,6,27,12,14,15,14,23,19,20,8,9,8,15,5,6,23,22,10,22,28,21,36,17,12,20,22,16,13,30,10,22,26,28,13,24,36,10,9,35,10,22,32,17,13,23,19,23,16,18,8,26,14
101,7,15,19,12,6,33,5,11,13,9,8,21,10,31,18,5,8,12,10,9,13,15,15,19,21,10,20,15,13,5,17,9,12,0,7,26,18,39,5,1,31,8,22,13,6,11,14,10,13,14,20,10,28,9,12,12,7,10,10,20,10,15,4,10,18,18,10,3,7,10,20,15,27,12,6,29,13,17,12,14,6,10,14,4,9,8,25,34,3,23,20,11,38,14,6,9,7,38,10,16,0,20,11,26,9,14,18,14,17,12,20,13,13,9,6,7,21,5,9,8,16,38,19,10,14,8,16,6,1,9,9,9,10,26,5,8,3,12,10,10,12,6,7,12,11,19,5,2,15,16,6,5,35,15,17,8,4,13,10,15,14,26,7,16,20,27,8,11,10,18,14,12,23,23,14,16,39,16,9,22,6,8,20,7,7,18,5,9,6,7,7,13,2,19,10,21
