Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136
100,31,30,41,31,38,38,32,27,31,27,36,31,26,29,28,27,23,26,25,24,31,28,28,34,26,31,25,35,22,31,47,32,49,28,27,34,29,29,13,30,30,33,36,36,44,32,25,28,32,30,37,28,30,31,32,35,34,36,35,27,31,28,24,32,31,31,32,28,30,34,30,26,47,27,30,40,30,26,30,36,32,32,39,36,33,34,32,38,25,30,28,15,33,22,28,36,30,31,30,0,43,36,34,24,32,34,29,16,38,35,50,40,39,12,31,46,34,29,29,30,13,30,29,34,32,38,32,35,34,46,34,52,32,30,41,46
101,30,23,28,23,40,24,19,23,25,30,30,25,26,18,18,23,26,19,18,22,20,17,33,17,18,32,23,26,36,29,28,27,35,27,22,29,21,33,31,22,12,23,38,12,24,33,38,29,32,24,22,27,12,22,20,17,22,27,26,22,16,32,29,20,24,20,29,16,13,46,15,24,25,24,12,17,14,18,29,26,31,34,48,31,31,10,25,25,28,33,23,33,30,33,18,22,19,20,25,43,0,24,30,28,24,24,14,28,6,17,17,38,29,30,16,37,30,32,24,20,30,32,46,30,32,23,29,28,16,7,31,23,30,17,21,19
102,8,6,30,6,17,1,22,10,5,9,6,5,11,9,8,9,13,11,11,13,7,12,9,19,11,8,13,3,16,8,10,4,13,9,10,6,7,8,25,6,12,6,15,16,28,8,14,9,7,6,23,9,12,7,23,18,25,3,3,10,8,11,14,22,5,8,7,16,10,21,9,11,29,10,14,7,16,11,8,3,8,9,23,6,7,14,6,2,10,8,10,22,7,15,9,4,6,22,9,36,24,0,5,14,6,25,16,31,20,19,19,15,6,26,18,12,6,10,9,8,26,8,20,7,9,1,6,5,18,26,7,16,5,8,4,7
103,3,6,29,7,11,6,19,7,3,4,6,5,6,11,13,6,8,10,12,8,9,13,4,20,11,3,9,4,10,3,15,2,16,4,6,3,8,3,22,5,17,5,10,21,33,4,9,4,2,7,21,4,18,6,18,20,21,4,4,6,12,6,9,19,5,8,2,14,15,16,14,6,34,6,18,13,16,12,3,4,3,4,20,4,2,19,3,6,6,3,7,17,2,11,12,8,10,17,3,34,30,5,0,9,6,21,16,26,23,20,24,11,6,22,20,16,2,5,5,10,22,3,17,2,4,6,1,2,20,32,2,21,1,12,8,12
104,6,8,28,8,14,14,20,7,9,5,15,9,4,12,12,6,4,10,12,6,9,13,6,20,12,8,6,12,6,6,23,10,24,5,7,12,8,6,13,8,18,8,12,21,32,10,9,5,9,8,22,5,17,7,19,19,21,12,12,7,12,4,2,20,9,8,10,12,16,18,14,4,34,6,18,18,15,11,6,12,8,9,19,12,9,20,8,13,3,8,6,9,10,7,11,14,10,16,6,24,28,14,9,0,8,21,16,18,24,21,28,16,15,15,18,24,10,4,5,10,13,7,16,11,8,15,8,10,19,30,11,30,9,12,17,21
105,8,1,25,2,17,7,16,4,3,7,7,1,6,7,7,4,8,5,7,8,4,8,9,15,7,8,8,4,11,5,15,4,16,4,4,6,3,8,20,1,12,0,16,16,27,9,13,7,7,1,18,4,12,1,18,15,19,6,4,4,7,7,8,16,1,3,7,12,10,22,9,6,30,4,14,11,10,6,6,5,8,10,24,7,8,15,2,6,5,8,4,17,8,12,6,6,6,17,3,32,24,6,6,8,0,19,11,26,19,15,20,15,7,22,14,17,6,8,3,5,20,8,21,7,10,6,6,5,15,27,7,21,6,7,9,13
106,24,18,10,18,30,26,4,15,20,21,25,20,16,17,17,16,16,15,14,14,19,13,25,6,14,24,14,23,27,20,35,20,34,19,16,22,18,23,22,19,15,18,31,11,13,23,28,22,22,19,2,18,18,18,2,7,1,24,23,15,18,23,23,4,21,19,22,8,18,36,18,16,13,15,17,28,9,15,20,25,23,25,37,23,22,15,20,25,18,24,15,27,23,28,16,24,18,4,17,34,24,25,21,21,19,0,9,19,24,6,38,31,26,22,7,34,20,23,17,18,22,23,35,22,25,26,20,21,6,15,21,40,22,19,29,32
107,18,10,14,10,27,17,5,9,13,18,16,12,11,8,8,10,11,7,5,10,9,4,20,4,5,18,10,15,22,16,26,14,26,15,9,18,9,18,17,11,6,11,26,6,18,19,25,16,18,10,7,15,8,10,8,4,8,15,14,10,8,18,18,5,12,10,17,3,9,31,9,12,17,10,8,21,1,6,16,15,18,20,35,16,18,5,13,16,14,18,9,21,18,23,8,16,10,6,14,29,14,16,16,16,11,9,0,15,14,5,30,26,17,17,4,28,16,18,12,9,18,18,32,18,20,16,16,15,5,17,18,32,16,9,20,23
108,23,26,28,25,30,31,19,22,26,22,31,27,21,23,24,22,19,21,20,19,25,19,24,18,20,25,18,30,16,24,41,27,41,22,22,28,25,24,6,25,20,25,29,19,31,27,20,23,27,26,20,23,23,26,17,19,18,30,30,23,24,20,19,19,27,24,28,14,24,28,25,21,32,22,24,36,16,20,24,30,25,28,36,30,28,21,27,33,21,26,22,10,28,16,23,32,26,16,24,16,28,31,26,18,26,19,15,0,31,19,46,33,32,4,18,43,27,21,22,24,6,25,22,29,25,32,26,28,19,28,30,46,27,25,35,39
109,25,18,29,16,34,20,19,18,21,24,25,18,20,12,12,18,20,14,12,18,15,11,26,17,12,26,18,22,31,23,24,22,30,22,18,24,15,26,26,18,10,18,34,12,26,26,32,26,25,17,21,21,7,17,23,17,22,22,20,17,12,25,25,19,19,16,25,16,9,41,10,18,25,17,7,11,15,12,22,22,26,27,40,24,24,10,19,21,21,26,18,29,26,30,12,15,14,20,21,38,6,20,23,24,19,24,14,31,0,18,16,34,25,27,18,30,23,24,18,14,26,27,39,25,28,18,24,22,18,8,24,17,23,12,16,15
110,22,15,12,14,31,20,2,14,18,21,22,16,16,11,11,15,16,11,9,14,13,8,24,1,9,22,14,19,25,20,28,18,31,18,14,22,12,22,21,16,9,16,30,6,14,25,30,22,22,14,5,19,11,14,5,1,6,19,17,14,11,23,23,2,15,12,23,7,12,36,12,16,14,15,11,24,5,9,21,19,23,24,39,21,22,8,18,19,19,24,14,26,22,27,11,19,12,4,16,35,17,19,20,21,15,6,5,19,18,0,33,30,21,22,2,29,22,23,17,11,21,23,34,23,23,19,21,20,0,11,22,34,21,12,22,26
111,25,21,45,20,36,20,36,24,21,25,25,18,26,23,22,24,27,24,26,26,21,27,28,34,26,26,28,21,30,23,23,22,30,23,24,24,22,26,41,20,24,20,35,28,41,28,33,25,26,21,36,23,23,20,36,32,37,22,20,23,21,27,28,35,18,20,25,31,22,41,21,26,41,24,22,12,30,26,24,23,25,29,43,24,26,24,20,20,26,27,23,35,25,28,24,15,21,35,22,50,17,19,24,28,20,38,30,46,16,33,0,34,24,41,34,32,23,25,23,21,41,27,38,25,27,19,22,23,32,23,26,18,23,21,15,15
112,10,15,38,17,2,14,31,17,12,12,9,14,15,20,23,15,15,19,21,16,18,22,10,30,21,8,17,12,18,11,11,12,9,12,16,9,18,10,28,16,27,16,5,32,42,7,14,12,8,17,31,12,28,16,29,29,31,12,14,16,22,13,16,31,14,18,9,23,24,8,24,14,42,16,28,22,26,21,10,12,8,7,9,9,8,30,14,13,14,8,16,24,8,18,22,19,20,28,12,40,38,15,11,16,15,31,26,33,34,30,34,0,10,30,28,9,10,12,14,20,28,10,11,8,9,15,10,11,32,41,9,16,10,23,18,19
113,8,8,31,8,10,5,22,11,6,10,1,6,12,12,12,10,15,12,13,14,10,14,9,21,12,7,15,3,16,9,8,6,10,10,11,4,9,9,27,8,18,7,10,21,33,4,12,10,6,8,23,10,17,8,25,20,25,3,5,11,12,12,14,22,6,9,5,18,16,16,14,12,33,11,18,13,16,12,10,3,7,6,19,3,6,21,6,4,12,7,10,23,6,16,12,9,11,23,9,39,29,6,6,15,7,26,17,32,25,21,24,10,0,28,20,10,5,10,10,10,28,9,15,4,7,6,7,5,21,32,4,15,6,13,9,10
114,21,21,33,21,28,28,23,17,22,18,27,22,16,20,20,18,15,18,18,14,20,16,20,21,16,23,15,26,13,20,38,24,40,19,18,26,20,20,2,22,18,21,25,23,36,24,17,19,24,21,24,18,20,22,20,23,22,26,26,18,20,18,15,22,23,20,24,15,19,23,20,17,36,18,20,33,18,17,20,26,22,23,30,26,23,22,22,27,16,22,18,5,24,12,19,27,22,19,20,12,30,26,22,15,22,22,17,4,27,22,41,30,28,0,21,39,25,18,19,20,2,21,19,26,23,28,22,24,23,33,24,42,22,20,30,34
115,22,14,12,12,28,19,3,13,16,20,21,15,15,10,11,14,16,10,8,13,12,6,24,1,8,21,14,17,25,19,28,18,29,17,12,20,12,21,20,13,8,14,29,6,14,22,28,20,21,14,5,16,10,13,5,1,6,18,17,13,11,20,20,3,15,12,21,7,11,37,12,14,14,12,10,22,4,8,18,17,23,24,36,20,20,7,16,19,17,21,12,24,20,26,10,20,12,4,16,31,16,18,20,18,14,7,4,18,18,2,34,28,20,21,0,28,20,21,14,11,20,22,33,20,24,19,19,19,2,13,21,36,18,12,20,25
116,19,17,41,18,10,11,32,21,16,21,11,16,23,20,18,20,23,21,21,25,18,24,20,28,21,16,24,12,26,19,7,16,2,20,21,13,18,18,36,18,23,18,14,27,38,14,22,20,15,17,34,20,24,16,35,30,35,12,13,20,19,21,23,32,16,19,14,29,22,15,20,22,40,20,24,19,27,21,18,13,17,15,12,13,15,27,17,11,22,16,20,33,15,27,19,15,17,34,19,46,37,12,16,24,17,34,28,43,30,29,32,9,10,39,28,0,15,21,20,18,38,18,20,14,16,12,18,14,29,38,14,14,16,18,15,16
117,4,6,29,7,11,5,21,7,4,5,4,5,8,12,13,6,10,10,12,10,10,14,4,20,12,2,9,3,11,4,14,2,14,6,7,2,8,4,23,6,18,6,10,22,33,4,8,6,2,7,22,6,17,6,19,20,21,4,5,7,12,7,10,22,6,9,2,13,15,17,14,8,34,7,19,13,16,12,4,3,3,4,19,3,2,21,4,4,7,3,7,19,2,12,12,9,10,19,5,34,30,6,2,10,6,20,16,27,23,22,23,10,5,25,20,15,0,6,5,10,22,4,15,2,4,6,2,1,21,33,2,21,2,13,9,11
118,2,8,32,9,10,11,23,9,5,1,10,7,7,14,14,8,6,12,14,8,11,15,2,21,13,4,9,8,6,3,20,5,20,4,9,8,10,2,17,8,19,8,8,24,36,6,6,1,6,9,24,4,18,8,21,23,22,9,7,9,14,1,4,23,7,10,7,16,17,15,15,6,37,9,20,14,18,14,3,9,4,5,18,8,6,23,6,10,5,4,9,13,6,6,13,10,13,20,5,29,32,10,5,4,8,23,18,21,24,23,25,12,10,18,21,21,6,0,7,12,17,3,14,7,4,10,4,6,23,34,7,26,5,14,12,16
119,8,3,24,2,16,10,15,2,4,6,9,4,3,7,8,2,5,6,8,5,5,8,9,16,7,7,5,7,11,4,19,4,20,3,2,6,4,7,17,3,13,3,15,18,28,8,12,6,6,2,18,3,13,2,15,16,16,8,7,2,8,6,6,16,4,4,6,8,10,20,9,3,29,2,14,14,10,7,4,8,8,9,22,7,6,16,3,9,3,7,2,14,7,10,7,9,6,13,2,29,24,9,5,5,3,17,12,22,18,17,23,14,10,19,14,20,5,7,0,6,18,7,21,6,8,10,5,5,15,28,6,24,5,8,12,16
120,13,5,22,4,21,8,14,4,8,11,12,6,6,2,2,5,6,3,4,6,2,5,14,12,4,13,6,8,16,10,18,9,18,9,4,11,2,13,19,5,7,5,20,12,24,14,20,12,12,4,16,8,8,4,16,12,17,8,6,4,2,13,12,14,6,2,12,9,6,26,4,6,22,4,8,12,8,4,10,9,13,14,30,12,12,10,7,8,8,12,4,16,12,16,2,8,1,15,8,30,20,8,10,10,5,18,9,24,14,11,21,20,10,20,11,18,10,12,6,0,19,13,25,12,14,9,10,10,12,21,12,24,10,2,11,14
121,19,19,31,19,27,26,22,16,21,18,26,21,16,18,18,16,12,15,15,12,19,14,18,22,16,20,12,23,11,17,36,22,37,17,16,23,19,20,1,20,18,20,23,22,34,22,15,17,22,19,24,17,18,20,19,22,21,25,24,17,18,15,13,21,21,19,24,15,19,22,19,16,34,17,20,30,17,15,18,24,20,21,31,24,22,22,21,27,15,19,16,4,21,11,17,26,20,19,18,13,30,26,22,13,20,22,18,6,26,21,41,28,28,2,20,38,22,17,18,19,0,18,17,24,20,26,20,22,22,33,23,41,22,20,28,33
122,0,8,33,9,8,8,22,10,6,2,8,8,7,14,15,8,7,12,14,9,12,15,2,22,14,2,9,6,8,4,18,5,19,5,9,5,11,0,18,8,20,8,8,24,34,4,6,2,3,10,25,5,19,9,20,24,24,7,7,9,15,4,6,22,8,12,4,16,18,14,16,7,37,9,22,16,18,14,3,7,2,3,16,6,4,22,6,8,5,2,9,14,4,8,15,11,14,20,6,30,32,8,3,7,8,23,18,25,27,23,27,10,9,21,22,18,4,3,7,13,18,0,14,5,2,8,3,4,22,34,5,24,3,16,11,15
123,13,22,43,22,8,20,36,23,20,15,16,21,21,28,27,21,20,26,27,22,23,28,13,36,26,13,22,18,10,17,17,19,19,18,23,15,25,14,18,21,32,20,6,37,48,13,8,15,14,22,36,18,34,22,36,36,36,18,20,22,27,15,14,36,22,23,15,28,32,4,29,19,47,23,32,27,31,29,17,18,14,12,12,15,15,35,20,19,19,13,22,15,14,10,28,24,28,31,19,29,46,20,17,16,21,35,32,22,39,34,38,11,15,19,33,20,15,14,21,25,17,14,0,14,12,21,17,17,37,47,14,24,16,28,23,26
124,5,7,31,8,9,6,21,8,5,6,4,6,8,14,14,8,10,12,14,11,10,15,5,21,14,3,11,4,13,5,13,4,14,6,8,1,10,5,22,7,20,7,9,24,33,2,9,6,2,8,23,6,19,8,21,22,22,4,6,8,13,8,11,22,7,10,1,16,16,16,16,9,34,8,20,14,17,13,6,4,4,2,17,2,2,22,5,5,8,3,9,20,2,13,14,10,12,18,6,34,30,7,2,11,7,22,18,29,25,23,25,8,4,26,20,14,2,7,6,12,24,5,14,0,3,7,3,2,22,34,0,20,2,14,11,11
125,2,10,34,11,7,8,23,10,7,3,7,8,8,15,17,10,9,14,15,10,12,18,2,24,15,2,10,6,10,5,16,6,16,6,10,4,12,2,20,9,21,10,7,25,35,2,6,4,2,10,26,6,21,10,23,25,24,6,8,10,16,5,8,24,9,12,3,17,20,14,18,8,38,10,21,16,20,15,4,6,1,2,15,5,2,24,7,7,6,2,10,17,2,10,15,12,15,20,7,32,32,9,4,8,10,25,20,25,28,23,27,9,7,23,24,16,4,4,8,14,20,2,12,3,0,9,4,4,24,34,3,21,4,16,13,13
126,8,7,30,7,16,1,21,10,6,10,6,6,12,9,9,10,14,12,12,14,8,13,10,19,12,8,14,3,16,8,9,5,13,10,10,6,8,8,28,7,12,7,15,17,30,8,13,10,7,7,24,9,12,7,24,18,24,4,3,10,8,11,14,21,6,8,7,17,10,21,9,12,27,10,13,7,17,12,9,4,8,9,24,6,7,15,6,2,12,8,10,22,8,17,10,4,8,23,9,38,23,1,6,15,6,26,16,32,18,19,19,15,6,28,19,12,6,10,10,9,26,8,21,7,9,0,6,5,19,27,7,16,6,8,4,6
127,3,6,29,6,12,7,19,7,3,3,7,5,5,11,12,6,8,9,12,8,9,13,4,19,11,3,8,4,10,2,16,2,17,3,6,4,8,3,21,6,18,6,11,22,32,4,9,3,2,7,22,3,16,6,19,19,21,5,4,6,12,5,8,20,5,8,3,13,15,17,14,6,33,6,17,13,16,12,2,5,4,4,19,5,2,19,4,6,5,3,6,16,3,9,12,8,11,16,3,32,29,6,1,8,6,20,16,26,24,21,22,10,7,22,19,18,2,4,5,10,20,3,17,3,4,6,0,2,20,32,4,22,1,12,9,14
128,4,6,30,6,12,5,19,7,3,5,4,5,8,11,12,6,10,9,11,10,9,13,4,20,12,3,9,2,12,4,14,2,15,6,6,2,8,4,22,6,18,5,10,22,31,4,9,5,3,6,21,5,17,6,20,20,21,4,4,6,12,7,10,21,5,8,2,13,16,18,14,8,32,6,18,12,15,11,4,3,3,4,18,3,2,20,3,4,8,3,6,18,3,12,12,8,10,18,5,35,28,5,2,10,5,21,15,28,22,20,23,11,5,24,19,14,1,6,5,10,22,4,17,2,4,5,2,0,20,30,2,20,2,12,8,12
129,23,15,12,14,31,19,2,14,17,22,22,16,17,10,11,15,16,10,8,14,12,8,24,1,9,22,14,18,27,19,29,18,28,18,14,21,12,22,21,14,8,16,29,6,14,24,29,21,23,14,5,19,10,14,5,0,6,18,17,13,11,23,22,2,15,12,22,8,12,35,12,16,14,14,10,22,5,9,19,18,22,24,36,20,21,8,18,18,18,24,13,27,22,28,10,20,12,4,17,34,16,18,20,19,15,6,5,19,18,0,32,32,21,23,2,29,21,23,15,12,22,22,37,22,24,19,20,20,0,11,22,35,21,12,21,25
130,35,25,21,25,44,28,11,24,28,34,32,26,28,21,20,26,28,22,20,25,23,18,37,12,19,34,24,30,36,32,30,31,41,28,26,32,24,35,33,26,15,27,41,11,17,34,41,33,33,26,14,30,15,27,14,12,16,31,28,26,19,34,34,12,26,24,34,18,16,46,18,27,18,26,14,19,17,20,31,31,33,35,48,31,34,12,30,29,29,35,26,36,33,39,20,24,22,15,28,46,7,26,32,30,27,15,17,28,8,11,23,41,32,33,13,38,33,34,28,21,33,34,47,34,34,27,32,30,11,0,34,25,32,19,24,22
131,5,8,30,8,10,6,22,8,5,6,4,6,8,14,14,7,10,12,13,11,10,15,6,21,14,3,10,4,12,6,12,4,14,6,8,1,10,5,22,7,19,7,8,24,36,2,8,6,2,8,24,6,18,8,20,22,21,4,6,8,14,8,10,21,7,10,1,15,16,15,15,9,35,8,19,14,18,14,6,4,4,3,17,2,2,21,5,5,9,4,8,19,2,12,13,10,12,20,6,34,31,7,2,11,7,21,18,30,24,22,26,9,4,24,21,14,2,7,6,12,23,5,14,0,3,7,4,2,22,34,0,19,3,14,11,11
132,23,22,44,23,18,15,36,25,22,24,16,20,27,25,23,26,30,28,27,29,23,28,24,34,28,23,29,18,30,24,7,20,14,26,25,18,23,23,41,23,27,22,19,29,44,20,26,24,20,24,39,25,24,22,39,36,41,18,18,25,25,25,30,37,22,22,20,33,24,23,24,26,43,26,23,12,30,28,24,18,22,21,26,17,20,28,23,17,26,23,26,40,20,32,24,16,23,39,25,52,23,16,21,30,21,40,32,46,17,34,18,16,15,42,36,14,21,26,24,24,41,24,24,20,21,16,22,20,35,25,19,0,22,24,14,10
133,3,6,30,7,11,6,20,7,4,4,6,6,6,12,13,6,9,10,12,8,10,14,4,21,12,2,8,4,10,3,15,2,15,4,7,3,9,3,22,6,17,6,10,22,33,4,8,4,2,7,22,4,17,7,20,20,22,5,5,7,13,6,8,20,6,9,2,13,16,17,14,6,34,7,18,13,16,12,4,4,3,4,18,4,2,20,4,5,6,3,7,17,2,10,12,8,11,17,4,32,30,5,1,9,6,22,16,27,23,21,23,10,6,22,18,16,2,5,5,10,22,3,16,2,4,6,1,2,21,32,3,22,0,13,9,12
134,15,7,22,6,23,8,14,6,9,14,14,8,8,2,1,6,8,4,4,7,4,5,16,12,4,14,6,10,18,12,16,10,20,10,6,13,4,14,19,7,5,7,23,9,21,16,22,14,15,6,16,11,5,6,16,11,18,10,8,6,1,14,14,14,8,4,13,10,3,29,2,8,21,6,6,12,9,4,12,10,14,17,32,14,14,8,9,9,10,14,6,18,14,19,2,8,2,15,9,30,17,8,12,12,7,19,9,25,12,12,21,23,13,20,12,18,13,14,8,2,20,16,28,14,16,8,12,12,12,19,14,24,13,0,10,15
135,11,10,32,10,20,4,24,12,8,12,10,8,14,11,12,12,16,14,14,17,10,16,12,21,15,12,16,6,18,11,8,8,16,12,12,10,10,12,30,9,14,9,18,16,30,13,17,12,11,10,27,12,12,10,28,22,28,7,6,13,11,13,16,24,8,10,10,21,11,24,10,14,30,13,11,4,18,13,11,6,12,12,28,10,11,15,9,5,14,12,13,26,11,18,12,3,10,24,12,41,21,4,8,17,9,29,20,35,16,22,15,18,9,30,20,15,9,12,12,11,28,11,23,11,13,4,9,8,21,24,11,14,9,10,0,5
136,15,13,37,13,21,7,27,16,12,16,11,12,18,16,15,16,20,18,19,20,13,19,15,26,18,13,21,10,22,14,8,12,17,16,18,10,15,15,32,14,18,13,19,21,33,12,18,16,12,13,30,16,16,14,29,25,30,8,10,17,15,17,20,29,12,14,10,25,15,27,14,18,34,17,16,3,22,19,16,8,13,14,29,10,12,18,13,8,18,12,18,31,12,23,16,7,14,30,15,46,19,7,12,21,13,32,23,39,15,26,15,19,10,34,25,16,11,16,16,14,33,15,26,11,13,6,14,12,25,22,11,10,12,15,5,0
