Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145
92,21,17,18,14,10,8,10,6,15,1,9,12,14,17,7,17,19,2,14,9,9,17,13,10,8,16,15,14,21,17,10,23,14,16,16,10,16,13,11,10,10,11,10,14,10,10,13,20,10,20,28,16,9,14,19,16,6,14,20,10,23,10,12,16,18,14,8,17,29,11,8,15,32,10,24,12,16,12,26,14,10,18,12,21,12,8,6,14,4,16,1,0,20,7,12,20,14,10,20,20,14,23,14,21,18,17,14,15,14,16,7,8,14,21,16,14,17,3,8,11,17,22,29,19,10,18,19,17,20,16,14,14,11,16,14,13,10,12,18,23,20,9,19,16,19
93,8,13,3,9,11,18,12,21,8,20,11,8,9,13,14,4,16,22,8,11,11,9,10,10,18,7,10,18,6,12,11,20,9,11,4,10,12,18,16,11,10,10,11,7,10,11,10,1,10,16,9,6,16,10,7,12,20,10,8,10,6,10,8,12,10,10,13,12,8,10,24,10,11,11,20,10,4,10,7,10,11,11,14,13,10,12,18,11,17,12,21,20,0,16,24,17,6,13,1,16,8,4,6,16,3,13,7,10,8,4,18,16,9,17,11,6,12,22,15,10,5,10,9,15,13,11,16,6,16,5,10,11,10,4,16,9,12,10,2,4,15,29,15,5,15
94,16,10,12,8,5,3,15,5,10,7,5,11,8,10,6,12,12,7,9,5,5,12,8,5,3,11,8,20,15,10,8,17,9,8,12,8,8,20,19,8,8,6,4,8,8,7,8,15,5,14,23,12,2,8,14,10,6,8,15,6,18,5,7,10,13,8,8,10,24,5,10,10,27,9,18,6,12,5,22,8,14,13,16,16,14,14,14,10,10,10,7,7,16,0,10,14,10,16,15,12,10,20,10,14,12,15,8,8,8,12,4,1,9,14,12,9,14,8,2,5,13,16,24,13,16,14,14,12,13,10,7,14,11,12,18,8,14,6,13,18,12,14,13,10,13
95,25,19,23,17,15,8,18,6,20,12,14,16,18,19,12,22,20,10,18,15,14,22,18,14,8,22,18,25,26,18,15,22,19,18,21,15,17,24,22,16,14,16,14,18,15,14,18,25,16,23,33,20,10,18,24,17,7,18,24,16,30,14,17,20,24,18,13,19,34,15,4,20,36,16,24,14,22,15,31,17,19,23,21,25,18,19,18,20,15,17,12,12,24,10,0,20,20,19,25,21,19,29,20,23,23,22,19,18,18,22,7,10,17,22,20,19,21,10,10,15,23,28,33,20,19,23,24,20,22,21,15,18,16,20,22,17,18,16,23,30,20,5,21,21,21
96,8,4,15,8,13,14,27,16,9,21,14,26,7,5,20,13,2,19,8,13,14,8,8,12,14,10,6,35,10,5,21,4,8,6,12,21,6,33,32,22,21,12,13,11,22,21,7,17,10,3,19,22,12,8,10,5,16,7,8,12,10,11,9,5,7,6,21,4,20,9,21,6,17,22,5,9,18,10,16,8,27,7,30,30,28,27,26,6,25,4,20,20,17,14,20,0,19,28,17,2,10,18,18,3,16,28,12,6,9,13,14,14,8,3,6,18,28,19,13,10,21,25,18,2,29,6,4,24,1,12,8,28,25,17,32,8,28,15,14,18,2,22,1,21,2
97,10,14,3,12,6,12,10,15,10,14,6,7,11,15,8,6,17,17,11,6,6,12,11,6,12,9,13,15,8,14,5,20,11,13,6,5,13,16,14,5,5,6,6,6,5,5,11,6,8,18,14,4,10,11,8,14,15,11,10,6,10,8,10,13,12,12,7,14,14,9,19,12,18,5,22,9,3,9,12,11,9,12,12,11,9,11,12,12,12,13,14,14,6,10,20,19,0,11,6,16,10,10,1,18,3,10,7,12,10,6,13,10,12,18,12,1,10,17,10,9,4,8,15,17,12,12,17,5,18,7,11,10,6,2,14,10,10,4,4,10,17,23,18,4,16
98,21,26,14,23,16,16,2,15,20,10,16,4,23,26,10,16,26,11,22,17,15,23,21,18,16,20,23,6,19,24,8,33,22,24,16,7,24,5,3,7,8,18,18,18,7,9,22,13,18,28,20,8,17,22,20,24,14,22,21,18,18,18,21,24,22,22,8,24,19,19,16,23,22,8,32,20,11,19,18,23,2,24,2,11,3,2,7,22,7,25,10,10,13,16,19,28,11,0,12,28,20,15,11,28,14,8,18,23,20,16,15,15,22,28,23,13,7,12,16,19,8,14,20,26,1,23,27,8,27,18,22,4,6,12,4,21,2,13,14,15,28,17,28,8,27
99,9,13,4,10,11,18,12,21,9,21,11,9,10,13,14,4,15,23,9,11,11,9,10,11,17,8,11,18,6,13,11,19,10,11,4,10,12,17,15,11,11,11,11,8,10,11,10,1,11,16,8,5,17,10,8,13,20,9,9,10,7,10,9,12,10,11,13,12,8,11,25,11,11,11,19,10,4,10,7,10,11,10,13,12,11,13,19,11,18,13,21,20,1,15,25,17,6,12,0,15,8,4,6,17,4,12,7,12,8,4,18,15,10,16,10,7,11,23,16,11,4,9,9,15,12,11,16,6,16,6,11,11,10,5,15,10,11,10,3,4,15,29,16,5,16
100,8,4,14,6,12,13,27,15,7,19,13,24,7,4,18,11,2,18,7,11,13,6,7,10,14,8,5,31,10,4,22,4,7,5,12,20,5,32,30,21,21,10,11,11,20,20,6,15,9,2,18,20,12,6,8,4,16,6,7,11,9,9,8,4,6,5,21,4,19,8,20,5,16,21,5,9,16,8,15,7,26,6,27,28,26,26,24,6,22,4,20,20,16,12,21,2,16,28,15,0,8,18,17,2,14,26,10,5,8,12,13,13,6,2,6,16,26,18,11,8,20,25,17,1,28,5,4,22,1,11,6,25,22,16,31,7,26,14,13,17,1,23,1,20,1
101,7,5,6,2,5,12,18,15,1,14,6,16,2,5,11,4,8,16,2,5,5,3,2,5,12,2,4,26,6,5,12,12,2,4,4,13,4,26,22,14,12,4,5,3,13,12,2,7,5,9,14,13,11,2,5,5,14,2,6,5,9,5,3,5,4,3,12,5,14,5,18,4,18,13,12,5,9,5,13,2,18,4,20,19,18,20,18,3,15,5,14,14,8,10,19,10,10,20,8,8,0,10,9,10,6,19,2,4,2,4,12,10,2,9,3,8,19,17,10,5,12,17,14,8,19,4,8,13,8,3,5,20,16,10,24,2,19,7,6,10,8,22,8,13,8
102,10,14,7,11,14,22,15,24,10,24,14,12,11,14,18,8,16,26,10,15,14,11,11,15,21,9,13,15,8,14,15,21,11,13,8,14,13,16,18,15,15,15,15,12,15,14,11,4,15,18,5,8,20,12,9,14,24,12,10,14,8,14,13,13,12,12,16,14,4,14,27,13,8,14,21,14,8,15,3,11,14,12,14,11,12,16,22,12,22,14,24,23,4,20,29,18,10,15,4,18,10,0,10,17,7,11,11,12,12,8,22,20,11,18,12,10,10,26,19,14,7,8,5,16,14,12,18,8,17,9,15,11,14,8,14,12,14,13,6,1,16,31,18,9,17
103,10,13,3,11,5,12,10,15,10,15,5,7,10,14,8,6,16,16,10,6,6,11,11,6,12,9,13,15,8,14,5,22,10,12,6,5,12,16,15,5,5,6,6,6,5,5,11,6,8,18,15,4,11,11,8,13,15,10,10,7,10,8,9,14,11,12,7,14,13,8,20,12,17,5,21,8,3,8,12,11,9,12,12,11,9,11,13,12,12,14,14,14,6,10,20,18,1,11,6,17,9,10,0,19,3,10,7,12,10,6,13,10,11,18,12,1,10,17,10,8,4,8,15,16,11,12,17,5,18,6,11,10,6,2,14,10,11,4,4,10,16,23,17,4,17
104,8,5,16,7,14,15,27,17,9,22,14,24,8,5,20,14,4,19,8,12,14,8,7,12,15,10,6,34,11,5,22,4,8,6,12,22,6,34,33,22,21,12,13,12,23,21,8,17,10,1,19,21,14,7,9,5,18,7,8,12,11,11,9,5,6,6,22,5,20,10,22,6,16,21,4,10,18,10,16,8,26,6,30,28,26,28,28,6,24,5,21,21,16,14,23,3,18,28,17,2,10,17,19,0,15,29,10,6,8,12,16,14,8,1,6,18,27,20,13,10,21,25,18,2,28,6,2,22,2,12,8,27,24,18,33,8,28,15,14,18,2,25,2,22,2
105,7,11,1,8,7,15,12,17,7,16,8,10,8,12,10,3,13,19,7,8,8,8,8,8,15,6,10,19,5,12,8,18,8,10,3,8,10,20,17,8,8,7,8,4,8,8,8,3,8,14,11,7,14,8,6,11,18,8,7,7,6,8,7,10,9,10,10,11,11,8,22,10,14,8,19,8,4,8,10,8,12,9,14,14,12,14,15,9,16,11,18,18,3,12,23,16,3,14,4,14,6,7,3,15,0,14,4,10,7,3,16,13,8,15,10,4,14,19,13,8,6,11,12,14,14,9,14,8,14,4,8,13,10,3,16,8,13,6,1,7,14,24,15,6,14
106,20,24,13,21,16,16,8,16,21,17,14,5,20,24,10,15,27,18,20,16,16,22,21,18,16,19,24,6,18,24,7,32,20,22,16,7,23,6,9,7,7,17,16,17,7,8,21,12,18,28,12,7,16,20,19,25,16,21,21,16,18,18,19,23,22,22,9,23,12,20,22,23,16,7,31,20,10,18,13,21,7,22,6,4,4,9,15,23,15,24,16,17,13,15,22,28,10,8,12,26,19,11,10,29,14,0,18,23,19,15,15,15,22,30,22,12,1,19,17,19,8,6,13,28,7,21,28,6,28,16,21,3,6,10,4,20,7,12,14,10,26,24,28,7,26
107,8,7,5,4,4,11,18,13,3,13,4,15,4,7,9,4,10,15,3,4,4,4,4,4,10,3,6,23,7,7,11,15,4,6,4,11,6,22,20,12,12,3,4,1,11,10,4,7,4,10,15,11,9,4,6,7,14,4,7,3,11,4,3,6,5,5,10,6,14,4,18,5,18,11,15,4,8,4,14,4,16,5,20,18,16,17,16,5,13,7,14,14,7,8,19,12,7,18,7,10,2,11,7,10,4,18,0,5,3,4,12,8,4,11,5,6,17,16,8,4,10,14,15,10,18,5,10,12,10,2,4,17,14,7,22,4,16,6,5,11,10,21,10,11,10
108,8,2,9,2,7,11,22,13,3,15,8,19,2,2,14,7,5,15,2,7,8,4,2,6,10,4,1,28,7,2,15,9,2,1,7,16,1,27,26,16,16,6,6,6,16,15,2,10,5,6,15,15,10,2,6,2,14,2,6,6,10,5,3,2,5,1,16,2,16,4,18,2,19,16,9,4,12,4,14,2,22,6,23,23,21,22,20,2,18,2,15,15,10,8,18,6,12,23,12,5,4,12,12,6,10,23,5,0,3,7,12,8,2,6,3,12,22,16,8,4,15,20,16,5,24,5,6,17,6,6,4,22,19,12,26,2,21,10,8,13,5,21,6,16,5
109,8,4,7,2,5,10,20,14,2,13,5,17,2,4,11,5,7,15,1,4,6,4,2,4,10,3,3,26,7,4,13,12,1,3,5,14,4,26,24,14,13,4,4,4,14,13,2,8,3,8,16,13,9,2,6,4,14,2,7,4,10,3,2,4,5,3,13,4,16,4,18,3,18,13,12,3,10,4,14,2,19,6,21,21,18,20,18,2,16,4,13,14,8,8,18,9,10,20,8,8,2,12,10,8,7,19,3,3,0,4,11,8,2,9,3,9,20,15,8,3,12,18,16,7,20,6,8,14,8,4,4,18,15,10,24,1,20,8,6,11,8,22,8,14,8
110,5,9,3,6,7,14,16,17,4,17,7,12,6,8,10,1,12,18,5,7,8,6,6,7,14,4,7,22,4,9,10,16,5,7,1,10,8,21,19,9,9,6,7,4,10,8,6,4,6,12,12,9,12,6,3,8,17,6,5,6,7,6,5,8,6,7,9,8,12,7,21,7,16,9,16,7,6,7,10,6,14,6,18,17,14,16,14,7,14,8,16,16,4,12,22,13,6,16,4,12,4,8,6,12,3,15,4,7,4,0,15,12,6,13,7,5,16,20,12,6,8,13,13,12,16,7,12,10,12,2,8,15,12,6,19,5,16,6,2,8,12,26,12,10,12
111,18,12,16,11,8,1,14,2,14,7,8,11,11,12,6,14,12,6,12,8,8,15,11,8,1,14,11,20,18,12,8,16,12,11,15,8,11,19,18,8,8,8,8,11,8,8,12,18,8,16,26,15,2,12,17,12,2,12,17,9,21,9,10,13,16,11,8,11,25,8,7,13,28,8,18,8,15,8,25,11,13,16,17,18,14,15,13,13,10,11,7,7,18,4,7,14,13,15,18,13,12,22,13,16,16,15,12,12,11,15,0,4,12,17,14,12,14,6,3,8,16,21,27,15,16,16,17,15,14,14,8,14,10,14,18,11,14,10,16,22,14,10,14,14,14
112,16,10,12,8,6,3,14,5,10,7,4,12,8,10,6,11,12,7,9,5,5,12,9,5,3,11,8,20,15,9,9,17,8,8,12,8,8,20,18,9,9,6,5,9,8,8,8,15,5,13,24,12,2,9,15,9,6,9,15,6,19,5,7,10,13,8,8,10,22,6,10,10,26,9,17,5,12,6,22,8,14,13,16,16,14,15,13,10,11,10,7,8,16,1,10,14,10,15,15,13,10,20,10,14,13,15,8,8,8,12,4,0,9,14,12,9,15,7,2,6,12,17,23,12,15,14,15,11,12,11,7,14,10,12,18,8,15,6,14,20,12,14,13,10,12
113,8,3,8,1,6,10,20,13,2,13,6,18,1,3,12,6,6,16,1,6,7,4,1,4,10,3,2,27,7,3,14,10,1,2,6,14,2,27,26,15,15,5,6,5,14,14,1,9,4,7,16,15,10,1,6,3,14,1,7,5,10,4,2,3,5,1,14,3,15,4,18,3,19,15,11,4,11,3,14,1,21,6,22,22,19,21,20,2,18,3,14,14,9,9,17,8,12,22,10,6,2,11,11,8,8,22,4,2,2,6,12,9,0,8,4,10,20,16,9,4,14,19,16,6,22,5,7,16,6,5,4,21,16,11,26,1,22,9,8,11,6,22,6,15,6
114,8,5,16,8,14,15,27,17,8,20,13,24,8,4,19,13,4,20,9,13,14,8,8,12,15,10,6,35,11,5,22,3,8,6,14,22,6,33,30,21,23,12,12,12,21,20,8,16,10,1,19,22,14,7,10,5,18,7,8,12,10,11,8,5,6,7,22,5,22,10,23,6,17,22,4,10,19,10,16,8,27,7,29,28,27,27,26,7,23,5,21,21,17,14,22,3,18,28,16,2,9,18,18,1,15,30,11,6,9,13,17,14,8,0,7,18,28,19,13,10,21,25,19,2,28,6,2,23,2,12,8,28,23,19,32,8,28,16,14,18,2,25,2,21,2
115,5,2,9,3,7,14,23,16,3,16,7,18,4,3,13,7,5,19,3,7,8,1,3,7,14,4,4,29,4,4,16,9,3,4,7,15,4,29,26,16,16,6,7,6,16,14,3,10,6,6,13,16,13,3,4,4,16,4,4,6,8,6,5,2,2,4,15,4,15,6,22,1,15,16,10,6,12,6,11,4,21,2,23,24,21,22,20,2,19,4,17,16,11,12,20,6,12,23,10,6,3,12,12,6,10,22,5,3,3,7,14,12,4,7,0,12,22,20,12,7,16,19,13,5,22,2,5,16,6,6,7,21,19,12,25,4,21,10,8,12,6,24,6,15,5
116,9,13,3,10,5,11,11,15,9,14,5,8,10,14,8,5,16,17,9,5,5,10,10,6,12,8,12,17,7,12,5,20,10,12,5,5,12,17,16,5,5,6,5,6,5,5,10,6,7,16,14,5,10,10,8,14,15,10,9,6,10,7,8,12,10,11,7,13,14,8,19,12,18,5,21,8,3,8,14,10,10,11,13,12,10,11,12,11,12,13,15,14,6,9,19,18,1,13,7,16,8,10,1,18,4,12,6,12,9,5,12,9,10,18,12,0,11,16,9,8,4,8,15,16,12,11,17,6,16,5,10,11,8,2,15,9,11,3,4,10,16,23,17,5,16
117,19,23,13,20,15,15,8,17,18,17,14,5,21,24,10,15,26,19,20,15,14,20,21,16,15,18,22,7,17,24,7,31,21,21,14,7,22,6,9,7,7,16,16,17,7,8,21,12,17,28,12,7,16,21,18,22,16,21,19,17,17,17,18,23,21,22,9,23,12,19,20,22,16,7,30,18,10,18,12,21,7,22,6,4,4,9,15,22,14,23,16,17,12,14,21,28,10,7,11,26,19,10,10,27,14,1,17,22,20,16,14,15,20,28,22,11,0,18,15,18,7,6,12,25,8,22,28,5,28,16,21,3,6,10,5,20,7,11,13,10,26,24,26,7,27
118,23,16,19,16,12,6,12,5,18,3,12,14,16,16,10,19,18,1,17,12,12,20,16,12,6,18,16,18,23,16,12,22,16,16,19,12,15,15,13,13,12,13,12,15,13,12,16,22,13,20,30,18,7,15,21,16,4,16,22,13,26,12,14,18,20,15,10,15,32,12,7,18,33,13,22,12,20,12,30,15,12,20,13,24,14,10,8,17,6,16,3,3,22,8,10,19,17,12,23,18,17,26,17,20,19,19,16,16,15,20,6,7,16,19,20,16,18,0,8,12,19,24,31,18,12,22,23,19,19,18,12,16,14,19,17,14,12,13,20,26,18,6,18,18,17
119,16,10,12,9,6,2,16,5,10,9,5,12,8,9,8,12,11,7,9,5,5,13,9,5,3,11,8,22,16,8,10,15,9,8,12,10,8,21,20,10,10,6,5,8,10,8,8,16,6,13,24,12,1,9,14,8,6,8,15,6,19,6,7,10,14,8,9,8,24,6,10,11,27,10,15,6,12,6,23,8,15,13,18,16,15,16,15,10,12,8,8,8,15,2,10,13,10,16,16,11,10,19,10,13,13,17,8,8,8,12,3,2,9,13,12,9,15,8,0,6,13,18,25,12,16,13,15,12,12,10,6,16,12,12,19,8,16,6,14,19,12,14,12,10,12
120,12,6,8,3,4,7,18,10,5,11,4,15,3,6,10,6,8,12,4,3,4,7,4,2,8,6,4,25,11,6,13,12,4,4,7,13,4,24,22,12,12,2,3,4,13,12,4,10,1,9,18,12,6,3,9,6,10,4,10,2,14,1,2,6,8,4,12,6,18,1,15,6,21,12,13,1,9,1,17,3,18,8,21,20,17,19,18,5,14,6,12,11,10,5,15,10,9,19,11,8,5,14,8,10,8,19,4,4,3,6,8,6,4,10,7,8,18,12,6,0,12,17,19,8,19,8,10,13,9,6,3,17,15,9,24,3,18,6,8,14,9,18,9,12,9
121,12,16,6,14,8,15,9,17,13,18,8,6,14,16,11,8,20,20,14,8,9,14,14,10,16,12,15,13,10,16,8,23,13,15,8,8,16,13,12,8,8,10,9,10,8,8,14,5,12,21,11,2,14,14,11,16,18,14,13,10,11,10,13,16,15,14,10,16,11,12,23,15,14,8,25,12,3,12,9,14,8,15,9,8,6,11,15,15,15,17,18,17,5,13,23,21,4,8,4,20,12,7,4,21,6,8,10,15,12,8,16,12,14,21,16,4,7,19,13,12,0,5,11,20,8,15,20,2,20,9,14,7,7,3,11,13,8,7,7,7,20,25,20,2,20
122,18,20,11,19,12,20,13,23,18,22,13,11,18,20,15,14,23,25,18,14,12,18,19,14,20,16,19,8,15,22,13,29,17,19,13,12,21,10,15,12,13,14,13,14,13,13,18,10,16,24,7,6,19,19,16,22,22,19,17,14,16,15,16,21,19,19,14,21,6,16,27,20,10,13,29,17,8,16,10,19,13,19,12,4,10,14,20,20,20,22,22,22,10,16,28,25,8,14,9,25,17,8,8,25,11,6,14,20,18,13,21,17,19,25,19,8,6,24,18,17,5,0,8,25,14,19,24,6,24,14,19,9,12,8,9,18,12,11,11,8,26,30,25,7,24
123,10,14,12,16,18,26,19,30,15,28,20,18,16,16,21,12,18,32,15,20,20,12,16,20,25,13,16,16,9,16,20,22,15,16,12,19,16,16,22,20,18,19,19,16,20,19,15,10,18,18,1,12,26,16,10,16,30,16,10,18,8,18,17,15,12,16,22,17,2,18,33,14,3,18,22,19,12,18,3,16,18,12,18,11,16,20,26,15,26,16,28,29,9,24,33,18,15,20,9,17,14,5,15,18,12,13,15,16,16,13,27,23,16,19,13,15,12,31,25,19,11,8,0,18,20,12,18,13,18,13,19,16,18,13,16,17,18,17,11,5,17,38,17,14,17
124,7,3,14,6,12,14,27,16,8,19,13,24,6,3,18,11,2,18,6,11,13,6,6,11,13,8,5,34,9,3,20,5,6,4,12,21,4,34,32,20,21,11,11,11,21,19,6,14,10,2,17,20,13,6,8,4,16,6,7,10,9,9,8,4,6,5,20,4,19,9,20,5,16,20,5,8,18,8,14,6,26,5,29,27,27,26,26,5,24,4,18,19,15,13,20,2,17,26,15,1,8,16,16,2,14,28,10,5,7,12,15,12,6,2,5,16,25,18,12,8,20,25,18,0,29,5,3,22,1,11,7,27,24,16,29,7,28,15,13,18,1,26,1,20,1
125,20,25,14,22,16,16,2,15,21,10,16,4,22,24,9,16,28,12,22,17,15,22,21,17,16,20,24,6,19,25,8,32,22,23,16,8,23,5,3,8,8,18,17,17,8,9,22,13,18,28,19,8,17,22,20,26,14,21,20,16,18,19,21,24,23,23,8,24,18,20,17,22,22,8,33,19,11,20,17,22,2,23,2,12,3,2,7,22,7,24,10,10,13,16,19,29,12,1,12,28,19,14,11,28,14,7,18,24,20,16,16,15,22,28,22,12,8,12,16,19,8,14,20,29,0,22,28,8,29,16,23,4,6,11,4,22,2,13,15,15,29,18,29,8,29
126,3,4,9,5,8,16,21,19,3,18,9,19,6,5,14,7,5,19,4,8,9,1,5,8,16,4,6,28,4,5,16,9,5,6,7,16,6,28,26,15,15,8,9,6,16,14,5,10,8,6,14,16,14,5,4,5,19,6,2,8,6,8,6,4,1,6,15,5,15,8,22,3,13,15,10,8,12,9,10,5,21,1,23,23,21,23,20,4,18,6,17,18,11,14,23,6,12,23,11,5,4,12,12,6,9,21,5,5,6,7,16,14,5,6,2,11,22,22,13,8,15,19,12,5,22,0,6,16,5,6,9,22,19,12,27,6,21,10,8,13,5,25,6,15,5
127,7,5,14,7,12,16,28,20,8,20,13,25,7,6,18,12,5,22,7,12,13,6,6,11,17,9,7,31,10,6,20,4,7,7,12,20,7,33,31,21,21,12,12,10,22,19,6,15,9,2,18,20,16,7,8,7,20,6,7,11,10,10,8,5,6,7,20,6,20,10,24,5,16,21,5,10,18,9,15,7,26,6,28,28,26,27,25,5,23,6,20,19,16,14,24,4,17,27,16,4,8,18,17,2,14,28,10,6,8,12,17,15,7,2,5,17,28,23,15,10,20,24,18,3,28,6,0,22,4,11,10,28,23,17,32,7,28,15,14,17,4,28,4,21,4
128,15,19,8,16,10,14,8,16,14,16,9,5,16,19,10,10,22,18,15,10,9,16,16,11,14,14,17,11,12,18,7,26,16,17,10,7,17,12,10,7,7,11,10,12,7,7,15,6,13,23,12,2,13,16,14,18,18,15,14,11,13,12,14,18,17,17,9,18,12,14,20,18,15,7,27,13,4,14,10,16,8,17,8,6,4,9,14,16,14,18,16,17,6,12,20,24,5,8,6,22,13,8,5,22,8,6,12,17,14,10,15,11,16,23,16,6,5,19,12,13,2,6,13,22,8,16,22,0,21,11,16,6,6,5,10,15,7,7,8,8,21,25,22,2,21
129,8,4,14,7,13,13,26,15,8,21,12,23,7,4,19,12,2,18,8,12,14,7,7,11,13,9,5,31,9,4,21,4,7,5,12,20,5,34,32,21,21,11,11,11,21,20,6,16,10,2,18,20,11,6,9,4,16,6,8,12,10,9,8,4,6,6,20,4,20,8,20,5,16,21,4,8,17,9,14,6,27,6,28,28,26,26,27,6,23,4,19,20,16,13,22,1,18,27,16,1,8,17,18,2,14,28,10,6,8,12,14,12,6,2,6,16,28,19,12,9,20,24,18,1,29,5,4,21,0,11,7,28,22,18,30,7,27,14,14,17,1,24,1,21,1
130,6,8,4,5,6,12,16,15,4,16,6,13,5,8,8,2,11,16,4,6,6,5,5,6,12,3,6,22,5,8,10,15,5,6,2,10,7,21,21,10,10,5,6,2,10,8,5,5,6,11,14,10,12,5,4,8,16,5,5,6,9,5,4,8,6,6,10,8,12,6,20,6,17,10,16,6,7,6,12,5,16,6,18,17,15,16,15,6,13,8,16,16,5,10,21,12,7,18,6,11,3,9,6,12,4,16,2,6,4,2,14,11,5,12,6,5,16,18,10,6,9,14,13,11,16,6,11,11,11,0,6,16,12,6,20,4,17,4,3,9,11,22,11,10,11
131,12,5,8,4,6,7,20,10,6,13,6,17,4,4,12,7,6,12,4,6,7,8,4,5,7,6,4,28,10,4,14,11,4,4,8,16,3,28,24,16,15,5,6,5,15,13,4,10,4,8,19,15,6,4,9,4,10,4,10,5,14,4,2,6,9,3,14,4,19,3,15,6,23,15,11,3,11,3,18,4,20,9,22,23,19,21,20,5,16,4,13,14,10,7,15,8,11,22,11,6,5,15,11,8,8,21,4,4,4,8,8,7,4,8,7,10,21,12,6,3,14,19,19,7,23,9,10,16,7,6,0,21,16,11,26,3,22,9,8,15,7,19,6,14,6
132,19,23,13,20,15,15,4,14,19,14,14,3,20,22,8,16,25,15,20,16,14,20,21,16,14,19,23,7,18,23,6,32,20,23,15,6,23,7,6,6,6,16,15,15,6,7,22,12,18,27,15,7,15,21,18,22,14,20,19,16,18,17,20,22,22,22,7,24,15,18,18,22,19,6,31,18,10,18,14,20,4,22,3,7,2,6,12,20,11,22,14,14,11,14,18,28,10,4,11,25,20,11,10,27,13,3,17,22,18,15,14,14,21,28,21,11,3,16,16,17,7,9,16,27,4,22,28,6,28,16,21,0,4,10,4,20,4,12,13,10,26,22,28,7,27
133,16,20,9,17,12,12,4,11,16,10,11,1,18,21,5,11,23,13,16,12,11,16,17,13,10,15,19,10,13,19,3,26,16,19,12,3,19,10,8,3,3,13,12,13,3,4,17,9,14,24,18,6,11,17,14,20,11,16,16,12,14,14,16,20,17,18,4,19,17,14,16,18,21,2,26,15,6,14,17,17,4,18,6,9,3,4,9,19,9,20,11,11,10,11,16,25,6,6,10,22,16,14,6,24,10,6,14,19,15,12,10,10,16,23,19,8,6,14,12,15,7,12,18,24,6,19,23,6,22,12,16,4,0,6,8,16,4,8,10,14,23,20,23,5,22
134,10,14,3,11,6,14,10,17,10,16,7,7,11,14,10,5,17,18,10,7,7,12,11,7,14,9,13,16,8,14,7,20,11,13,6,6,13,16,14,6,7,6,7,6,6,6,11,4,8,18,13,4,12,11,9,14,17,11,10,7,8,8,10,14,12,12,9,14,12,9,22,12,15,7,21,8,1,8,11,10,9,12,12,11,9,11,14,12,13,14,16,16,4,12,20,17,2,12,5,16,10,8,2,18,3,10,7,12,10,6,14,12,11,19,12,2,10,19,12,9,3,8,13,16,11,12,17,5,18,6,11,10,6,0,14,11,10,5,4,8,17,25,16,4,17
135,25,27,16,24,20,18,5,17,24,13,18,7,24,28,12,19,30,15,24,20,18,26,26,20,18,22,26,2,22,26,11,33,25,27,20,11,27,2,7,10,11,21,20,21,10,12,26,17,22,31,15,11,20,25,22,28,17,26,24,20,23,22,23,26,24,25,11,28,14,22,20,26,18,10,34,22,14,22,16,26,5,27,3,7,6,6,11,26,11,27,14,14,16,18,22,32,14,4,15,31,24,14,14,33,16,4,22,26,24,19,18,18,26,32,25,15,5,17,19,24,11,9,16,29,4,27,32,10,30,20,26,4,8,14,0,25,4,16,18,14,30,22,32,11,32
136,8,4,8,1,6,10,20,12,3,14,6,18,1,4,12,5,7,14,2,5,6,5,1,4,10,4,2,26,8,4,14,11,2,2,5,14,3,27,23,14,14,4,5,4,15,13,1,8,3,8,17,14,9,1,7,4,12,1,7,4,12,3,1,3,6,2,14,4,15,3,17,3,18,14,11,3,10,3,15,1,19,6,22,22,20,21,20,2,17,4,14,13,9,8,17,8,10,21,10,7,2,12,10,8,8,20,4,2,1,5,11,8,1,8,4,9,20,14,8,3,13,18,17,7,22,6,7,15,7,4,3,20,16,11,25,0,20,8,7,12,7,22,7,14,7
137,19,22,13,20,15,14,1,14,19,10,15,3,21,25,9,15,27,12,20,16,15,21,21,16,15,20,21,6,17,23,6,30,20,22,15,7,22,6,4,6,7,17,16,17,6,8,22,11,18,28,20,7,15,22,19,24,13,20,21,16,18,17,20,23,22,22,7,23,19,19,16,23,21,7,30,18,10,19,17,20,1,22,2,11,3,2,8,21,8,23,10,10,12,14,18,28,10,2,11,26,19,14,11,28,13,7,16,21,20,16,14,15,22,28,21,11,7,12,16,18,8,12,18,28,2,21,28,7,27,17,22,4,4,10,4,20,0,12,14,15,26,19,26,7,28
