Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169
80,6,3,10,13,20,8,9,16,2,1,4,13,18,11,12,4,3,22,17,7,3,17,3,6,14,6,2,1,12,4,5,8,13,19,4,4,14,5,3,10,3,11,4,4,11,6,21,6,9,4,7,2,2,4,2,6,6,2,5,16,1,14,5,2,1,6,2,20,4,11,4,12,18,1,7,3,9,8,9,0,9,3,11,4,19,2,4,3,9,4,11,13,6,4,10,18,8,6,4,12,1,5,9,14,18,6,16,1,23,1,4,12,8,8,5,16,1,3,9,13,9,17,5,8,5,10,15,18,10,2,6,17,14,16,4,6,18,3,6,14,10,16,18,5,12,2,18,16,6,13,5,8,5,3,2,5,16,4,6,5,2,3,5,4,4,7,10,7,8
81,10,12,19,22,22,17,9,17,12,10,12,23,18,21,18,13,12,32,18,11,6,18,13,15,23,16,8,10,13,12,14,16,15,10,13,6,20,11,12,18,13,10,14,13,19,6,22,4,10,12,13,10,11,12,12,4,4,12,14,24,10,24,14,9,9,12,11,31,12,11,14,20,16,10,4,12,18,18,19,9,0,13,19,14,19,11,12,12,13,9,20,23,15,13,19,21,2,4,13,10,10,6,14,22,28,15,17,9,25,10,6,11,14,7,14,25,10,7,11,22,16,20,14,12,10,11,20,15,11,12,16,26,24,18,11,16,21,8,4,23,8,18,20,11,2,12,20,26,14,12,15,7,15,12,10,14,18,14,16,14,8,6,8,6,6,3,18,11,6
82,6,1,7,10,20,6,9,15,1,3,4,11,17,8,13,3,2,20,18,7,6,17,3,3,11,4,4,3,12,4,4,6,12,22,3,6,14,5,1,6,1,12,2,4,10,6,21,9,9,1,7,3,1,1,1,9,9,1,4,13,3,11,4,4,3,6,1,18,4,11,3,9,18,3,9,2,9,6,10,3,13,0,8,2,18,1,3,1,8,4,8,11,3,2,10,19,11,9,2,12,3,7,9,11,15,4,16,3,23,3,6,13,9,8,4,12,3,5,10,11,9,18,4,9,5,9,14,18,10,1,4,14,11,16,4,6,18,5,9,12,12,16,17,5,14,1,18,14,7,12,3,11,3,2,2,2,15,3,4,3,4,6,5,6,7,10,9,6,9
83,11,8,2,5,16,9,11,18,9,11,8,5,21,4,16,7,9,15,21,11,14,21,8,5,5,4,12,11,15,8,6,3,16,30,7,14,10,10,8,4,8,10,7,6,6,14,24,17,12,8,7,11,9,8,9,16,16,9,7,9,10,7,6,12,11,8,9,12,8,9,8,5,14,11,17,8,12,3,13,11,19,8,0,6,21,9,8,8,12,11,4,11,6,7,6,22,18,17,7,11,11,14,13,6,10,4,12,11,25,11,14,10,12,14,6,9,10,14,14,5,13,22,6,9,11,13,12,15,10,9,4,7,11,20,9,5,22,13,16,5,20,19,21,9,22,8,21,9,10,14,6,18,6,8,10,6,18,7,5,6,12,13,13,14,14,16,5,10,16
84,7,2,5,10,20,7,8,17,3,5,3,9,18,7,14,2,4,17,18,8,8,19,2,2,10,2,6,5,13,3,2,5,14,24,1,8,13,6,2,5,2,9,1,3,8,8,23,10,8,2,6,5,3,2,3,10,11,3,2,11,4,10,3,6,5,4,3,18,3,10,2,7,17,4,11,2,10,5,11,4,14,2,6,0,19,3,2,2,10,5,7,9,2,4,8,20,12,10,1,12,4,8,10,10,13,2,15,4,24,4,8,12,10,8,2,12,4,7,11,9,10,19,2,8,7,11,14,16,9,3,2,13,10,16,4,5,20,7,11,10,14,17,20,6,15,2,20,12,8,12,2,13,2,2,4,1,16,2,2,2,6,8,6,7,9,11,7,8,10
85,12,17,21,16,38,12,26,3,16,17,22,16,3,17,6,20,15,16,3,11,18,1,20,21,16,21,18,18,6,20,21,24,6,24,20,18,33,13,18,17,18,29,20,21,28,24,4,20,26,19,26,17,17,19,18,18,20,17,21,30,18,15,22,18,17,23,17,34,22,30,20,25,36,17,19,20,9,23,9,19,19,18,21,19,0,16,21,17,9,22,18,10,21,16,27,4,20,21,20,30,18,22,9,16,30,20,34,18,5,17,21,30,9,25,21,12,19,17,9,16,9,2,20,25,12,9,33,36,27,17,17,16,11,3,14,24,1,19,18,16,28,3,2,13,19,17,4,12,12,32,20,26,21,19,20,20,2,20,20,20,18,18,22,19,20,20,26,12,25
86,5,1,7,12,20,6,10,14,1,2,5,12,16,9,12,4,2,20,16,6,5,17,4,4,12,4,4,2,11,5,4,7,12,22,4,5,16,4,2,7,1,12,2,5,10,7,20,8,10,2,8,3,1,2,1,8,8,1,4,14,2,12,5,3,2,6,1,19,5,12,4,10,18,2,8,3,8,7,9,2,11,1,9,3,16,0,4,1,8,5,8,12,4,2,10,18,10,8,3,13,2,6,9,12,16,4,17,2,22,2,5,14,8,9,4,14,2,4,8,11,8,16,4,9,4,8,16,18,12,1,5,16,12,14,3,8,17,5,8,12,12,15,17,4,14,1,18,15,6,14,4,11,4,4,3,3,14,4,4,4,4,5,6,6,6,9,10,6,9
87,8,3,6,10,18,8,7,17,4,4,2,10,20,7,15,1,5,19,19,10,6,21,1,2,10,3,5,4,14,2,1,4,15,23,1,7,11,8,2,6,3,8,2,2,7,7,23,9,7,2,5,4,4,3,4,10,10,4,1,12,3,10,2,5,4,3,4,18,1,9,1,8,14,4,10,1,11,4,12,4,12,3,8,2,21,4,0,3,10,4,7,10,2,5,7,22,12,10,2,10,4,7,12,11,14,3,13,4,26,4,7,10,12,6,1,12,3,6,12,10,12,19,2,6,8,12,12,16,8,3,3,14,10,18,6,4,20,6,9,11,14,18,20,7,15,3,21,13,9,11,2,12,2,1,3,1,18,1,3,2,5,6,6,7,7,11,6,9,10
88,6,1,7,10,20,6,9,15,1,3,4,10,17,8,12,3,2,20,16,7,6,17,2,3,11,4,4,3,11,4,3,6,13,23,3,6,15,5,1,6,1,11,2,4,10,6,22,9,9,1,8,4,1,1,1,10,9,1,4,13,3,11,4,4,3,6,1,18,4,12,3,9,18,3,9,2,9,7,10,3,12,1,8,2,17,1,3,0,8,5,8,11,3,2,10,18,11,9,2,12,3,6,10,11,15,4,16,3,21,3,6,12,8,8,3,13,2,5,10,10,9,18,3,8,6,10,16,17,11,2,4,14,10,16,4,6,17,5,9,12,13,16,18,5,14,1,18,13,6,12,3,12,4,2,2,2,15,3,4,3,4,6,5,6,6,10,8,6,9
89,4,8,10,10,28,4,17,7,7,9,12,9,9,8,4,11,7,18,10,3,9,9,10,11,10,12,8,10,4,12,11,14,5,24,10,9,23,4,9,8,8,20,10,12,18,14,12,10,18,9,15,8,8,8,7,10,10,8,12,20,9,10,11,9,9,14,8,23,12,20,12,17,25,8,10,11,5,14,5,9,13,8,12,10,9,8,10,8,0,12,7,10,11,6,17,10,12,11,10,19,9,13,1,10,20,12,24,9,14,9,12,20,1,17,11,12,9,8,7,9,3,9,11,18,4,6,24,26,18,8,8,13,10,7,6,15,10,11,11,10,18,8,10,4,16,8,10,12,2,21,12,17,11,10,10,10,7,11,10,11,9,8,14,9,10,11,16,3,16
90,10,5,10,14,16,9,5,20,5,4,3,13,21,10,17,4,7,22,22,11,4,22,4,6,14,7,4,4,16,3,5,8,16,18,4,4,10,9,4,9,5,7,4,4,10,4,25,6,5,4,4,6,5,4,5,6,6,6,4,16,4,15,5,4,4,4,6,22,3,7,4,12,14,4,6,4,13,8,14,4,9,4,11,5,22,5,4,5,12,0,11,14,6,7,11,22,8,6,4,8,4,4,13,14,19,7,12,4,27,4,3,9,12,4,5,16,4,5,14,13,13,22,5,5,10,14,11,13,6,5,6,17,13,20,8,6,21,2,6,14,10,20,22,9,12,4,22,17,11,9,5,9,5,3,3,5,20,4,6,5,4,6,2,4,4,7,10,11,6
91,10,8,3,3,22,4,11,14,9,11,8,3,17,1,12,7,10,11,17,10,14,16,8,6,3,5,12,11,11,8,6,7,12,30,7,15,16,10,8,2,8,12,7,7,11,14,20,16,11,8,8,10,9,8,9,16,16,9,7,14,10,4,6,12,10,8,9,17,8,12,7,9,18,10,17,8,8,8,9,11,20,8,4,7,18,8,7,8,7,11,0,7,6,7,10,18,18,17,7,12,10,15,9,4,14,4,17,10,21,10,13,14,8,14,6,6,10,14,14,2,8,17,6,10,10,12,16,18,12,9,4,6,7,15,9,8,18,13,18,4,20,15,17,10,21,8,17,6,7,13,6,19,6,9,10,6,14,7,5,6,12,14,12,14,15,17,9,10,17
92,14,11,9,6,28,6,17,8,12,14,12,6,10,7,6,10,13,8,10,12,17,11,10,10,6,10,16,14,10,11,10,14,12,31,10,17,22,12,11,7,11,19,10,12,16,17,13,20,17,10,15,14,11,11,12,19,20,12,11,19,13,5,11,14,14,13,12,23,12,19,10,15,24,14,20,10,5,14,5,13,23,11,11,9,10,12,10,11,10,14,7,0,10,10,18,12,22,20,10,19,13,18,10,6,21,11,24,14,15,14,17,20,10,16,10,3,13,16,16,6,7,10,10,16,13,16,22,24,18,12,7,6,1,8,12,13,11,15,19,6,24,9,11,13,24,12,11,3,9,20,10,22,11,12,12,10,9,10,9,10,15,16,16,18,16,21,16,12,19
93,8,3,4,8,17,8,6,19,4,6,3,8,20,6,15,2,5,16,21,10,8,19,2,1,8,2,6,6,14,3,1,4,15,24,2,9,12,8,3,4,3,8,2,2,7,8,24,11,6,2,4,6,4,3,4,12,11,4,2,10,5,9,1,7,6,3,4,16,3,8,2,6,15,6,11,2,12,4,12,6,15,3,6,2,21,4,2,3,11,6,6,10,0,5,7,21,13,11,2,9,6,9,13,9,13,2,13,6,24,5,8,10,11,8,1,11,5,8,13,8,11,20,1,6,8,12,12,15,8,4,3,12,10,18,6,4,21,8,11,9,15,18,21,8,16,4,20,12,9,10,1,14,1,3,5,1,19,2,1,1,7,8,8,9,10,12,6,8,12
94,4,2,6,9,23,4,11,13,2,4,6,10,16,7,10,5,3,17,15,5,7,15,4,5,10,6,6,4,9,6,6,8,10,23,5,7,17,3,3,6,2,13,4,6,11,8,20,10,11,3,9,4,2,2,2,10,10,2,6,15,4,11,6,5,4,8,2,17,6,14,5,10,20,4,10,4,7,8,7,4,13,2,7,4,16,2,5,2,6,7,7,10,5,0,12,16,12,10,4,14,4,8,7,10,15,6,18,4,21,4,7,15,7,10,5,12,4,7,8,9,7,15,6,11,4,8,18,20,13,2,3,14,10,14,2,8,16,6,10,11,14,14,16,3,15,2,15,12,4,15,5,12,5,4,4,4,14,5,4,5,5,7,7,7,8,11,11,4,10
95,15,10,8,11,10,14,11,25,10,10,8,11,27,10,21,8,12,20,28,17,13,27,8,7,11,7,12,11,20,8,7,4,22,30,7,14,5,14,10,10,10,10,8,7,1,13,31,16,10,9,7,11,10,10,11,16,16,10,7,5,10,13,6,12,10,7,11,11,8,10,7,2,8,10,16,8,18,4,19,10,19,10,6,8,27,10,7,10,17,11,10,18,7,12,0,28,19,16,9,10,10,14,18,12,8,6,7,10,32,11,14,10,18,13,6,16,10,12,19,11,18,27,7,9,14,19,6,11,10,10,10,12,16,23,12,4,26,12,16,12,20,25,26,14,21,9,27,15,16,13,7,19,7,8,10,8,24,8,8,7,12,14,13,14,14,18,2,15,16
96,13,18,20,17,36,14,28,4,18,19,22,17,6,17,6,21,16,18,2,12,20,5,20,22,17,21,18,18,7,22,22,24,6,22,22,20,32,14,19,17,18,30,20,21,29,25,3,19,26,20,24,17,17,19,18,20,21,18,21,29,19,15,22,19,18,24,18,34,23,31,20,27,35,18,19,21,10,24,9,18,21,19,22,20,4,18,22,18,10,22,18,12,21,16,28,0,20,22,19,30,18,22,10,17,31,22,33,18,4,19,23,32,10,25,21,14,18,18,9,16,10,5,22,27,13,9,33,35,30,18,18,17,12,5,16,26,3,20,20,17,28,6,5,14,20,18,1,14,12,32,22,28,22,21,21,20,4,22,20,22,20,18,24,20,20,20,26,13,25
97,8,11,18,21,19,15,8,16,10,8,11,22,19,18,17,12,10,29,19,10,6,19,11,14,22,15,8,8,13,10,12,16,14,12,12,5,19,10,11,16,11,9,12,12,19,5,22,3,8,12,12,8,11,12,10,2,3,10,12,25,9,21,13,7,9,11,10,30,11,10,12,19,16,8,2,11,18,16,17,8,2,11,18,12,20,10,12,11,12,8,18,22,13,12,19,20,0,3,13,10,9,5,12,23,27,15,15,9,24,8,6,11,13,7,13,25,9,6,11,22,14,19,13,10,8,11,19,17,10,10,15,24,21,17,10,14,20,6,2,22,8,17,20,10,4,11,20,24,12,12,13,8,13,11,9,13,17,12,14,13,7,5,6,5,5,2,17,10,6
98,8,9,15,19,18,13,6,18,8,6,9,20,20,17,14,10,7,26,19,10,3,20,9,12,20,12,5,6,14,8,10,13,15,14,10,3,16,7,9,16,9,9,10,10,16,4,22,2,6,9,10,6,8,10,8,2,1,8,10,21,7,19,10,5,6,10,8,26,8,9,9,18,15,6,2,9,15,13,14,6,4,9,17,10,21,8,10,9,11,6,17,20,11,10,16,22,3,0,10,10,6,3,12,20,25,12,13,6,24,6,3,11,11,6,10,21,6,4,12,19,12,20,11,8,8,12,16,16,8,8,12,22,20,17,8,12,21,4,2,19,7,18,20,7,6,8,21,23,10,10,11,6,11,8,7,10,18,9,12,10,5,4,4,3,2,2,15,9,5
99,7,2,5,9,19,7,8,16,3,5,3,10,19,7,14,2,4,17,19,8,8,19,1,2,10,2,6,4,13,3,2,5,14,24,1,8,12,6,2,5,2,10,1,3,8,8,22,10,8,1,6,5,2,2,3,10,10,2,2,11,4,10,3,6,4,4,3,16,2,10,2,7,16,4,10,2,10,5,10,4,13,2,7,1,20,3,2,2,10,4,7,10,2,4,9,19,13,10,0,11,4,8,11,10,14,2,14,4,22,4,8,12,10,7,2,12,4,7,11,9,10,18,2,8,7,10,14,16,9,3,2,14,10,16,5,5,18,7,10,10,15,17,20,6,16,2,19,12,8,12,2,13,2,2,4,1,17,2,2,2,6,8,6,8,8,12,7,7,10
100,17,12,10,14,12,18,4,26,13,12,9,13,28,13,25,9,14,23,30,19,11,29,10,10,14,9,12,11,24,8,10,7,24,19,10,11,10,18,12,12,12,2,11,8,10,7,34,10,4,12,5,13,12,12,13,11,10,13,8,16,11,14,9,12,12,7,13,22,9,2,10,11,7,12,11,10,22,7,22,12,10,12,11,12,30,13,10,12,19,8,12,19,9,14,10,30,10,10,11,0,12,7,20,14,17,9,7,12,35,12,8,1,20,4,9,18,11,13,22,13,20,30,9,4,18,20,11,6,2,12,12,18,20,28,15,6,30,10,12,14,11,26,29,17,12,12,29,18,18,3,9,9,10,10,11,10,28,10,10,10,11,14,7,11,10,10,9,18,6
101,6,3,9,13,20,8,8,16,2,1,4,14,17,10,13,4,2,22,17,7,3,17,3,6,13,7,2,1,12,4,4,8,12,20,4,4,15,5,3,9,3,11,4,4,11,6,20,6,9,3,8,2,2,4,2,6,6,2,4,15,1,13,5,2,1,6,2,20,4,12,4,11,18,1,7,3,9,8,9,1,10,3,11,4,18,2,4,3,9,4,10,13,6,4,10,18,9,6,4,12,0,5,9,14,19,6,16,1,22,1,4,13,9,8,4,16,1,3,10,12,9,17,5,8,6,9,14,18,10,2,7,18,14,16,4,6,18,3,6,14,10,16,18,5,12,3,18,15,7,13,5,9,6,3,2,4,16,4,6,5,2,4,5,4,4,7,9,6,8
102,10,6,13,17,16,11,4,19,6,5,6,17,23,15,17,8,8,26,22,12,4,22,7,9,17,10,5,5,16,6,8,12,18,15,8,4,14,10,6,12,7,6,8,8,14,1,25,4,4,7,7,6,6,7,6,4,3,6,8,18,5,17,8,5,5,7,6,25,6,6,8,16,13,5,4,7,14,11,15,5,6,7,14,8,22,6,7,6,13,4,15,18,9,8,14,22,5,3,8,7,5,0,14,17,22,10,11,5,28,6,2,8,14,3,8,19,5,6,14,17,13,22,9,5,10,15,15,12,6,6,10,20,17,21,8,10,22,3,4,18,7,21,22,10,8,6,22,20,11,8,9,5,9,6,5,8,21,7,10,9,5,6,2,4,4,4,13,12,3
103,4,9,12,9,29,4,18,6,8,9,13,10,8,9,5,11,7,18,8,3,10,8,12,12,10,12,10,10,3,14,13,15,4,23,12,10,23,5,9,9,9,20,11,14,20,14,12,10,18,10,16,8,9,10,8,11,12,8,13,22,10,10,14,10,10,14,9,24,12,20,12,18,27,9,10,11,5,15,5,9,14,9,13,10,9,9,12,10,1,13,9,10,13,7,18,10,12,12,11,20,9,14,0,10,22,13,25,10,13,10,12,21,1,17,13,13,10,9,7,10,3,9,12,17,4,6,24,28,20,9,9,13,10,6,6,15,9,12,11,10,19,6,9,5,15,9,8,13,3,22,13,18,12,12,11,12,7,12,12,12,10,9,14,10,11,12,18,4,17
104,14,11,5,1,22,6,15,14,13,14,12,1,16,4,11,11,12,10,16,13,16,15,11,9,1,8,15,15,11,11,10,8,12,32,10,18,16,12,12,6,12,14,10,10,11,17,19,21,14,12,10,15,12,11,12,21,19,13,10,14,14,2,10,15,14,12,12,18,12,13,11,10,18,14,20,11,8,8,8,14,22,11,6,10,16,12,11,11,10,14,4,6,9,10,12,17,23,20,10,14,14,17,10,0,14,8,17,15,22,15,18,15,10,16,10,4,14,16,17,2,8,16,9,13,14,16,16,20,13,12,8,3,6,13,13,8,17,16,20,1,24,14,16,13,26,12,17,5,10,16,10,24,10,12,13,10,14,11,8,10,16,17,15,18,17,21,10,13,19
105,18,15,11,14,8,18,18,26,16,19,16,14,28,14,25,15,16,22,31,19,21,31,15,13,14,12,19,19,24,16,14,11,26,38,14,21,8,18,16,14,16,18,14,14,8,21,32,23,19,15,15,18,16,15,16,24,23,16,14,3,18,15,14,19,18,16,17,3,16,18,15,7,12,19,23,15,22,10,22,18,28,15,10,13,30,16,14,15,20,19,14,21,13,15,8,31,27,25,14,17,19,22,22,14,0,12,11,18,36,17,21,18,21,20,13,18,18,21,22,14,20,31,14,16,17,23,7,19,17,17,12,14,21,28,17,12,32,20,25,14,27,28,31,17,30,17,30,19,18,21,14,26,13,16,17,13,27,15,12,14,20,20,19,22,22,25,10,18,24
106,8,4,3,7,18,8,7,18,5,7,4,7,21,5,15,3,6,16,20,10,10,20,4,1,8,1,8,7,15,4,2,3,15,26,3,10,11,8,4,4,4,8,3,2,6,10,24,12,7,4,4,7,5,4,5,12,12,4,2,9,6,8,2,8,7,4,5,15,4,8,3,6,15,6,13,4,13,3,13,6,15,4,4,2,20,4,3,4,12,7,4,11,2,6,6,22,15,12,2,9,6,10,13,8,12,0,13,7,24,7,10,10,12,9,2,10,6,9,13,7,12,20,2,6,9,13,11,15,7,5,4,10,11,19,7,3,21,9,12,8,17,19,22,8,17,4,22,10,10,10,2,15,2,4,5,2,19,3,2,2,8,10,8,10,10,13,5,9,12
107,21,16,15,18,5,22,8,32,17,16,13,18,34,17,27,14,18,27,32,23,15,34,14,14,18,13,16,15,26,13,13,10,28,26,14,15,4,20,16,16,16,7,15,12,7,10,36,14,7,16,9,16,16,16,16,14,14,16,12,9,15,20,13,16,16,11,18,14,13,6,14,8,2,16,16,15,24,10,24,16,17,16,12,15,34,17,13,16,24,12,17,24,13,18,7,33,15,13,14,7,16,11,25,17,11,13,0,15,37,17,13,7,26,10,13,22,15,17,26,18,26,33,13,8,21,26,4,8,6,17,16,18,24,31,20,10,34,14,15,17,18,32,34,21,19,16,35,23,22,10,13,15,13,14,15,14,33,13,14,13,15,18,12,16,14,14,8,22,13
108,6,3,9,13,19,8,9,15,2,1,4,14,18,11,12,4,2,21,17,7,4,18,3,6,13,6,2,1,12,4,4,7,13,18,4,4,14,5,3,10,3,11,4,4,11,6,21,6,8,3,7,2,2,4,2,6,6,2,4,15,1,14,5,2,1,6,2,21,4,11,4,12,18,1,7,3,9,8,10,1,9,3,11,4,18,2,4,3,9,4,10,14,6,4,10,18,9,6,4,12,1,5,10,15,18,7,15,0,22,1,4,13,9,8,4,16,1,3,10,13,9,17,5,8,6,10,14,18,10,2,7,17,14,15,4,6,18,3,6,14,10,16,18,5,11,2,18,16,6,13,5,9,6,3,2,5,16,4,6,5,2,4,5,4,4,7,9,6,8
109,18,22,25,20,42,16,31,7,21,22,26,22,6,22,10,26,20,18,5,16,23,6,24,25,22,25,22,24,12,25,26,28,10,23,23,24,36,17,22,21,23,33,23,26,31,28,2,24,30,23,30,21,21,23,21,23,25,21,26,33,23,20,25,22,23,28,21,37,26,33,26,29,39,23,23,24,14,30,13,23,25,23,25,24,5,22,26,21,14,27,21,15,24,21,32,4,24,24,22,35,22,28,13,22,36,24,37,22,0,22,26,33,14,29,24,18,22,22,12,21,14,5,24,31,18,13,36,40,34,22,23,20,15,8,19,29,5,24,24,20,32,7,5,17,26,23,5,17,16,34,24,31,24,24,24,24,7,25,23,24,22,22,26,24,24,24,30,17,30
110,6,3,9,13,21,8,9,15,2,1,4,13,17,11,12,4,2,22,16,7,4,18,3,6,14,6,2,1,12,4,4,8,13,18,4,4,15,5,3,9,3,10,4,4,11,6,22,6,9,4,8,2,2,4,2,6,6,2,4,16,1,14,4,2,1,6,2,22,4,12,4,12,18,1,7,3,9,8,10,1,10,3,11,4,17,2,4,3,9,4,10,14,5,4,11,19,8,6,4,12,1,6,10,15,17,7,17,1,22,0,4,13,9,8,4,16,1,3,10,12,9,18,5,9,6,9,14,18,10,2,6,18,14,15,4,6,18,3,6,14,10,16,18,5,11,2,18,16,6,13,5,9,5,3,2,4,15,4,6,5,2,4,5,4,4,8,9,6,8
111,9,6,12,16,16,11,5,18,5,4,6,17,22,14,16,8,6,26,20,10,3,20,6,9,16,10,4,4,16,6,8,11,16,16,7,3,14,9,6,12,6,8,7,8,14,2,24,3,6,7,7,6,6,7,5,3,3,5,7,19,4,16,8,4,4,6,5,24,6,8,7,14,14,4,3,7,13,11,13,4,6,6,14,8,21,5,7,6,12,3,13,17,8,7,14,23,6,3,8,8,4,2,12,18,21,10,13,4,26,4,0,10,12,4,7,20,4,5,14,16,12,22,8,5,10,14,14,14,7,5,10,20,16,19,7,9,21,2,3,17,7,20,22,8,8,6,22,20,10,9,8,6,9,6,4,8,20,7,10,8,4,5,2,3,2,4,12,10,4
112,17,12,11,14,12,18,4,26,13,13,10,14,31,14,26,11,15,25,30,20,12,29,10,11,14,10,12,12,25,10,10,8,25,19,10,12,11,17,12,14,13,2,12,9,10,7,34,12,4,12,6,15,14,12,14,12,11,14,9,15,12,15,9,12,12,8,14,21,9,2,10,11,6,13,12,10,21,8,21,12,11,13,10,12,30,14,10,12,20,9,14,20,10,15,10,32,11,11,12,1,13,8,21,15,18,10,7,13,33,13,10,0,21,5,10,18,12,14,22,15,20,30,10,4,18,22,11,5,2,12,13,17,20,28,16,7,32,11,12,15,11,27,30,18,12,13,31,18,18,3,10,9,10,11,11,11,28,10,11,11,12,14,8,12,12,11,9,18,6
113,4,9,11,9,28,4,17,7,8,8,12,9,9,8,4,12,6,17,8,4,10,9,10,11,9,12,9,9,3,12,12,15,4,24,10,10,23,4,9,8,9,19,10,13,19,14,13,10,17,9,15,8,8,9,8,10,11,8,12,21,9,10,12,10,9,14,8,24,12,19,11,17,26,9,10,10,5,14,5,8,14,9,12,10,9,8,12,8,1,12,8,10,11,7,18,10,13,11,10,20,9,14,1,10,21,12,26,9,14,9,12,21,0,17,11,12,10,8,7,9,3,9,12,16,4,6,22,27,20,8,8,13,9,7,6,15,10,10,10,10,18,8,10,4,15,9,10,12,2,21,12,17,12,11,10,10,8,11,10,11,9,8,14,9,11,12,17,3,16
114,13,9,12,16,15,14,3,24,9,8,6,16,25,14,20,7,10,25,26,14,8,25,6,8,16,9,8,8,19,6,8,10,20,16,8,8,13,12,8,12,8,4,7,8,13,3,28,7,3,8,7,9,10,8,9,7,6,10,8,19,8,16,7,8,8,6,10,23,6,5,7,15,10,8,7,6,17,10,17,8,7,8,14,8,25,9,6,8,17,4,14,16,8,10,13,25,7,6,7,4,8,3,17,16,20,9,10,8,29,8,4,5,17,0,8,19,8,8,17,16,16,25,8,5,14,17,14,10,4,9,9,21,16,22,12,10,26,6,7,18,8,23,27,13,9,8,25,19,14,5,8,6,8,6,7,7,24,7,9,8,8,10,4,8,6,6,12,14,3
115,8,3,5,9,17,9,6,18,4,5,2,10,19,7,16,1,6,18,20,10,8,21,2,2,10,2,6,5,14,2,1,4,16,24,1,8,12,8,3,5,4,8,2,1,6,8,23,11,6,3,4,5,4,4,4,11,10,4,1,12,4,9,1,6,4,3,4,16,2,8,1,8,15,4,10,2,12,3,13,5,14,4,6,2,21,4,1,3,11,5,6,10,1,5,6,21,13,10,2,9,4,8,13,10,13,2,13,4,24,4,7,10,11,8,0,12,4,7,13,9,12,21,1,6,9,12,12,14,8,4,3,12,11,19,7,4,20,7,11,10,15,18,21,8,16,4,20,12,9,10,1,14,1,2,4,2,18,1,2,1,6,8,6,8,8,12,6,10,11
116,16,13,8,4,26,8,16,10,14,16,14,4,12,6,8,12,15,6,13,14,19,12,13,11,4,10,17,17,13,14,11,11,13,33,12,19,20,15,14,8,13,16,12,12,14,18,15,22,16,13,12,17,14,12,14,22,22,14,12,17,15,3,12,18,16,12,15,20,14,17,13,13,23,16,22,13,8,12,7,16,25,12,9,12,12,14,12,13,12,16,6,3,11,12,16,14,25,21,12,18,16,19,13,4,18,10,22,16,18,16,20,18,12,19,12,0,16,19,18,4,9,13,11,15,15,18,20,23,16,14,10,4,3,10,15,12,13,18,21,4,24,10,12,14,28,14,12,1,12,18,11,23,10,14,16,11,10,12,10,11,17,19,17,20,19,23,14,15,21
117,6,2,9,14,20,8,8,15,2,1,4,13,17,10,13,4,3,22,18,8,4,18,3,6,14,6,2,1,12,4,4,8,12,18,4,4,14,6,2,9,3,10,4,4,10,5,22,7,8,3,7,2,2,3,2,6,7,2,4,16,1,14,4,2,1,5,2,21,3,11,3,11,17,1,7,3,10,8,10,1,10,3,10,4,19,2,3,2,9,4,10,13,5,4,10,18,9,6,4,11,1,5,10,14,18,6,15,1,22,1,4,12,10,8,4,16,0,3,10,13,9,18,5,8,6,10,14,17,10,2,6,16,13,16,4,6,19,3,7,14,10,16,18,6,12,2,19,16,7,12,5,9,5,2,1,4,16,4,6,4,2,4,5,4,4,8,9,7,7
118,5,6,11,16,22,10,10,15,4,2,5,15,16,13,12,6,4,24,16,6,2,17,6,8,15,9,2,2,11,5,7,10,12,18,7,2,15,4,5,11,6,12,6,7,13,7,20,4,10,6,8,2,5,6,4,4,4,5,7,17,3,16,7,2,3,6,4,24,5,12,6,14,18,3,4,6,12,10,11,3,7,5,14,7,17,4,6,5,8,5,14,16,8,7,12,18,6,4,7,13,3,6,9,16,21,9,17,3,22,3,5,14,8,8,7,19,3,0,9,16,9,17,8,10,5,8,16,18,12,4,9,18,16,15,4,8,18,3,4,16,10,14,18,4,9,5,17,19,7,14,8,10,8,5,4,7,15,6,8,7,2,1,6,2,3,5,12,5,9
119,4,10,12,15,31,10,19,8,8,10,14,16,11,14,10,12,8,23,8,4,10,10,12,12,16,13,10,10,6,13,13,16,5,17,12,11,24,5,10,11,9,21,11,13,20,14,12,10,18,10,17,8,9,10,8,11,12,9,13,21,10,16,13,10,10,15,9,24,13,20,12,18,26,10,10,12,11,16,11,9,11,10,14,11,9,8,12,10,7,14,14,16,13,8,19,9,11,12,11,22,10,14,7,17,22,13,26,10,12,10,14,22,7,17,13,18,10,9,0,15,9,11,13,17,4,1,24,28,19,9,10,20,16,11,6,15,9,12,11,17,18,11,10,5,12,10,9,18,7,22,12,19,12,11,11,11,10,12,11,12,10,9,14,10,12,12,18,4,17
